name,neighbourhood,room_type,bedrooms,bathrooms,minimum_nights,price,availability_365,number_of_reviews,review_score,is_superhost
4 bedroom Victorian Condo unit,Jamaica Plain,Entire home/apt,4.0,2.0,2,448.0,357,76,95.0,1
Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费。。,West Roxbury,Private room,4.0,2.5,28,70.0,327,209,91.0,0
Private Room in a One Family House,Brighton,Private room,1.0,1.0,1,99.0,363,249,97.0,1
Entire loft in Boston,Jamaica Plain,Entire home/apt,2.0,1.0,91,136.0,358,28,96.0,0
"Cozy, 2 bdr,  2 baths, house near medical area!",Jamaica Plain,Entire home/apt,2.0,1.5,5,121.0,0,15,99.0,0
Beacon Hill 1-Bed,West End,Entire home/apt,1.0,1.0,91,207.0,0,65,98.0,0
Historic Beacon Hill,Beacon Hill,Entire home/apt,1.0,1.0,91,425.0,358,23,89.0,0
Modern 2 BR in Brighton with Parking,Brighton,Entire home/apt,2.0,1.0,3,95.0,52,264,94.0,1
1BR in Charming South Boston Condo/Red Line/Beach,South Boston,Private room,1.0,1.0,91,66.0,90,31,96.0,0
"Authentic Boston, cozy room",Roxbury,Private room,1.0,1.0,28,65.0,239,41,96.0,1
"Real Boston, off the beaten track",Roxbury,Private room,1.0,1.0,28,67.0,214,38,97.0,1
Big Boston room,Roxbury,Private room,1.0,1.0,28,70.0,239,19,100.0,1
Historic brick Victorian row house,South End,Private room,3.0,3.0,91,350.0,89,25,94.0,0
Bright Sunlit bedroom near Spaulding/Downtown,Charlestown,Private room,1.0,1.0,28,49.0,0,105,94.0,0
Inviting Queen Anne Victorian,Dorchester,Private room,1.0,2.5,1,100.0,365,311,98.0,0
Cozy Private Room Near Transit,Mission Hill,Private room,1.0,1.0,2,85.0,0,167,83.0,0
Room with Sleeper Sofa Bed,Dorchester,Private room,1.0,2.5,1,60.0,365,45,98.0,0
Charming Historic Home in Charlestown,Charlestown,Entire home/apt,2.0,2.0,3,350.0,352,14,99.0,1
"Large 1 Bed, Kitchen & Bath w/ Off Street Parking",Brighton,Entire home/apt,1.0,1.0,2,80.0,84,123,91.0,1
3-story Luxury in Central Location,Bay Village,Entire home/apt,2.0,3.0,28,200.0,66,139,100.0,0
"Fort Hill Top - 2Bk Private room,  brick townhouse",Roxbury,Private room,1.0,2.0,60,49.0,156,20,96.0,1
Large Private bedroom by Seaport,South Boston Waterfront,Private room,1.0,1.0,1,86.0,90,260,96.0,1
Room in Rozzie-Twin Bed-Full Bath,Roslindale,Private room,1.0,1.0,28,58.0,365,37,96.0,1
"Sunny, welcoming 2 - bedroom condo in Boston",Brighton,Entire home/apt,2.0,1.0,3,100.0,297,47,94.0,0
Urban oasis trendy JP 'hood - suite,Jamaica Plain,Entire home/apt,2.0,1.0,2,145.0,357,213,98.0,1
Charming sunlit house in Boston,Roslindale,Entire home/apt,2.0,1.5,28,120.0,327,43,92.0,0
king sized bed/ Private room in a spacious condo,Dorchester,Private room,1.0,1.0,1,60.0,359,126,97.0,1
Queen in Arts & Crafts Bungalow,West Roxbury,Private room,1.0,1.0,1,49.0,0,69,99.0,0
Room for 2 in Rozzie - Full Bath,Roslindale,Private room,1.0,1.0,28,69.0,364,37,96.0,1
3Bed/2.5Bath Luxury Triplex South End's Union Park,South End,Entire home/apt,3.0,2.5,4,890.0,356,42,99.0,0
Back Bay Elegance in Brighton,Brighton,Private room,1.0,1.5,1,99.0,265,302,95.0,1
Queen Size Four Poster Bed,Dorchester,Private room,1.0,2.5,1,100.0,365,211,99.0,0
Private Apartment- Minutes from T!,Jamaica Plain,Entire home/apt,1.0,1.0,1,117.0,0,530,96.0,1
"Beautiful 3 bd- 1.5 bath with parking, in Boston.",Jamaica Plain,Entire home/apt,3.0,1.5,91,599.0,0,105,88.0,0
"Sea view,balcony,15min by metro to center,safe st",Dorchester,Private room,1.0,2.5,91,70.0,365,143,93.0,0
