name,neighbourhood,room_type,bedrooms,bathrooms,minimum_nights,price,availability_365,number_of_reviews,review_score,is_superhost
Sunny bedroom in Allston,Allston,Private room,1.0,2.0,91,44.0,0,13,95.0,0
Boston Private Room - Clean and quiet close to T,Hyde Park,Private room,1.0,1.0,91,35.0,0,11,96.0,1
SAFE CENTRAL CITY LOCATION! WalkToWork/Everywhere!,Fenway,Entire home/apt,1.0,1.0,91,198.0,362,15,93.0,0
Stunning Beacon Hill Boston Townhouse Apartment,Beacon Hill,Entire home/apt,4.0,2.5,4,750.0,232,50,99.0,1
Parlor South End charm with deck,South End,Entire home/apt,1.0,1.0,91,600.0,0,190,96.0,1
Sunny and Quiet top floor #8,South End,Entire home/apt,1.0,1.0,30,90.0,317,75,98.0,1
Spacious 4 BR | 2.5 BA Single-Family Home.,South Boston,Entire home/apt,5.0,3.0,3,373.0,261,69,97.0,1
Beacon Hill Studio w/ patio&parking,West End,Entire home/apt,1.0,1.0,3,200.0,249,272,98.0,1
Beacon Hill Duplex on Charles|3 BR 2BA,Beacon Hill,Entire home/apt,3.0,2.0,2,132.0,121,97,94.0,0
L’Auberge de Savin Hill,Dorchester,Private room,1.0,2.0,2,97.0,173,294,94.0,1
Beautiful South End Penthouse!,South End,Entire home/apt,1.0,1.0,2,221.0,148,219,97.0,1
Private Room Queen Anne Victorian,Allston,Private room,1.0,1.0,1,78.0,180,11,89.0,0
Morning Glory Bed & Breakfast!,Hyde Park,Private room,1.0,1.0,28,75.0,365,131,100.0,1
"Charming home Away from Home, close to parks",Jamaica Plain,Entire home/apt,1.0,1.0,14,200.0,0,249,97.0,1
WB Quarters™ by STRB|Hangout|Priv. Room|Shared BA,South Boston,Entire home/apt,1.0,1.0,28,121.0,201,26,94.0,0
South End 1 Bedroom PERFECTION!,South End,Entire home/apt,1.0,1.0,91,225.0,364,171,93.0,0
"Charming Studio in Boston Brownstone, #6",South End,Entire home/apt,1.0,1.0,1,80.0,150,87,90.0,0
Friendly Resting Spot/Great Transit,Jamaica Plain,Private room,1.0,1.0,91,96.0,88,32,99.0,0
Cozy room near Baker Chocolate Factory #1,Mattapan,Private room,1.0,1.0,91,70.0,364,33,97.0,0
Gorgeous Beacon Hill Apartment,West End,Entire home/apt,1.0,1.0,28,75.0,321,190,95.0,0
Welcome2Boston2: Near BC/BU/Harvard,Brighton,Entire home/apt,3.0,1.0,91,90.0,170,150,93.0,0
Boston's Iconic 'hood.  Solo stay or MGH staff?,North End,Entire home/apt,1.0,1.0,28,350.0,208,121,97.0,1
*** Sunny Studio *** near Airport & Train stop,East Boston,Entire home/apt,1.0,1.0,60,59.0,31,152,88.0,0
Airy light-filled remodeled 2BR on tree lined St,Jamaica Plain,Entire home/apt,2.0,1.0,2,290.0,301,76,99.0,1
2BR Lux Apt. in Boston Fenway,Fenway,Entire home/apt,2.0,2.0,28,899.0,364,10,90.0,0
Room on Top - South End brownstone,Roxbury,Private room,1.0,1.0,1,80.0,56,420,97.0,0
Large 2 BR | 1BA in the North End,North End,Entire home/apt,2.0,1.0,10,200.0,344,226,99.0,1
Gorgeous and Bright Victorian Home,Hyde Park,Private room,1.0,2.0,2,56.0,310,34,95.0,0
Executive Garden Apartment,Brighton,Entire home/apt,1.0,1.0,2,228.0,157,216,100.0,1
Sunny Room  Allston,Allston,Private room,1.0,2.0,91,53.0,0,27,96.0,0
"Boston, Back Bay Condo w/Private Roof Deck",Back Bay,Entire home/apt,1.0,1.0,2,254.0,345,116,98.0,1
In THE HEART OF BOSTON W/D InUnit*,South End,Entire home/apt,2.0,1.0,91,349.0,180,15,97.0,1
"Stunning suite, historic victorian",Jamaica Plain,Private room,1.0,1.0,91,157.0,365,41,91.0,0
"Lovely, Quiet Room",Hyde Park,Private room,1.0,1.5,91,45.0,328,12,100.0,1
Brownstone Penthouse Private Bath Suite by LMA & T,Roxbury,Private room,1.0,1.0,4,94.0,90,129,98.0,1
Brownstone Serene Room Treetop Views by LMA & T,Roxbury,Private room,1.0,1.0,4,94.0,144,99,96.0,1
Spacious Boston 3 BR Apt near train and airport 3,East Boston,Entire home/apt,3.0,2.0,91,250.0,22,61,93.0,0
Cozy Double Times II,Mattapan,Private room,1.0,1.0,2,70.0,365,61,92.0,0
Fireplace Haven,Mattapan,Private room,1.0,1.0,2,75.0,359,38,90.0,0
"Elegant, spacious boudoir with fireplace.",Jamaica Plain,Private room,1.0,1.0,91,151.0,365,15,88.0,0
"Elegant studio,kitchn, soaking tub",Jamaica Plain,Entire home/apt,1.0,1.0,91,146.0,365,24,90.0,0
Just around the corner from the Red Line!,Dorchester,Private room,1.0,1.0,30,38.0,365,12,82.0,0
Warm & Cozy Home for Your Stay!,Dorchester,Entire home/apt,4.0,1.0,1,299.0,358,11,91.0,0
Studio on Charles St. in Beacon Hil,Beacon Hill,Entire home/apt,1.0,1.0,91,150.0,0,12,93.0,0
"Private floor w/ 2BR, 1B, 1LR (900 Sq Ft)",Brighton,Entire home/apt,2.0,1.0,28,75.0,306,61,94.0,0
The Upton Boston - The Lincoln Suite,South End,Entire home/apt,1.0,1.0,20,180.0,120,15,96.0,1
"Big, Bright, and Spacious Bedroom",Allston,Private room,1.0,1.0,91,26.0,0,11,98.0,0
"Arboretum retreat with AC, private bath, entrance.",Roslindale,Private room,1.0,1.0,2,85.0,111,139,99.0,1
Large 2 BR|2 BA + Patio in Back Bay,Back Bay,Entire home/apt,2.0,2.0,10,329.0,346,171,99.0,1
Double in Arts & Crafts Bungalow,West Roxbury,Private room,1.0,1.0,1,44.0,0,66,98.0,0
Two rooms in Arts & Crafts Bungalow,West Roxbury,Private room,2.0,1.0,1,66.0,0,133,98.0,0
Superb 1BR Back Bay Condo,Back Bay,Entire home/apt,1.0,1.0,2,320.0,155,36,98.0,1
"Private Bed and Bathroom,parking, close to airport",East Boston,Private room,1.0,1.0,91,70.0,364,268,94.0,0
"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",Back Bay,Entire home/apt,1.0,1.0,9,289.0,88,40,97.0,1
Double Room in Beautiful Home!,Dorchester,Private room,1.0,1.0,1,79.0,361,185,90.0,0
Top Floor for Your Stay!,Dorchester,Private room,2.0,1.0,1,129.0,363,28,86.0,0
Spacious Bedroom in Cozy Home!,Dorchester,Private room,1.0,1.0,1,69.0,364,252,92.0,0
Cozy Room in Large Home!,Dorchester,Private room,1.0,1.0,1,69.0,365,211,92.0,0
"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",Fenway,Entire home/apt,1.0,1.0,9,150.0,38,43,97.0,1
"Close to universities, hospitals,...2",Jamaica Plain,Private room,1.0,1.0,3,150.0,40,62,97.0,0
Convenient & Inexpensive Room Near T!,Dorchester,Private room,1.0,1.0,30,34.0,296,13,91.0,0
Amazing Private Bedroom with AirBed Near T!,Dorchester,Private room,1.0,1.0,30,33.0,365,15,93.0,0
Spacious room in two-room condo in Boston MA,Brighton,Private room,1.0,1.0,91,51.0,319,197,94.0,0
Penthouse South End with roof deck,South End,Entire home/apt,2.0,1.0,91,120.0,0,166,97.0,1
"Steps frm Public Transit! Walk 2 Longwood, Fenway!",Mission Hill,Private room,1.0,1.0,91,80.0,365,71,92.0,0
"Hideaway in Boston's North End-""Little Italy""",North End,Entire home/apt,1.0,1.0,3,204.0,176,126,94.0,1
"Sunny, Stylish, Historic 1800s Schoolhouse Retreat",Charlestown,Entire home/apt,1.0,1.0,4,160.0,127,58,98.0,1
South End-Close to Everything!,South End,Entire home/apt,1.0,1.0,91,159.0,0,10,100.0,0
Spacious Room on Top Floor!,Dorchester,Private room,1.0,1.0,1,79.0,365,189,92.0,0
Sleek Furnished 2bed/2bath in the heart of Boston,West End,Entire home/apt,2.0,2.0,3,269.0,2,14,90.0,0
Extended stays,East Boston,Entire home/apt,1.0,1.0,4,150.0,90,42,98.0,0
2nd floor room in Victorian House,Roxbury,Private room,1.0,1.0,2,50.0,0,46,97.0,0
"Clean, Convenient and Comfortable",West Roxbury,Private room,1.0,1.0,1,50.0,108,20,100.0,0
2BR w deck near subway & downtown/longwood medical,Jamaica Plain,Entire home/apt,2.0,1.0,30,250.0,327,44,93.0,0
3 BR 2 full bath condo near train and airport #2,East Boston,Entire home/apt,3.0,2.0,91,380.0,22,18,94.0,0
"Spacious, comfy, Downtown 15 min.",Dorchester,Entire home/apt,3.0,1.0,91,84.0,123,104,87.0,0
The Boston Christopher One Bedroom,South End,Entire home/apt,1.0,1.0,1,199.0,130,68,91.0,0
2 bedroom apartment in Boston!,Jamaica Plain,Entire home/apt,2.0,1.0,4,150.0,145,35,95.0,0
Spacious loft in the quiet suburbs #1,Brighton,Private room,1.0,1.0,30,34.0,53,14,93.0,1
Sunny JP bedroom near Orange Line T,Jamaica Plain,Private room,1.0,2.0,91,78.0,365,24,91.0,0
Boston South-End Apt. With Porch,South End,Entire home/apt,1.0,1.0,3,150.0,173,20,99.0,0
Welcome Home! 3BR nr T w parking,Jamaica Plain,Entire home/apt,3.0,1.5,2,249.0,111,25,98.0,0
Garden Apt - Highland Park/Fort Hill (Orange Line),Roxbury,Entire home/apt,1.0,1.0,8,129.0,7,53,98.0,1
"2-bedr loft condo near BC, BU & Fenway w/parking",Brighton,Entire home/apt,2.0,1.0,28,110.0,116,67,96.0,1
"Beacon Hill Townhouse, 4 bedroom gem",Beacon Hill,Entire home/apt,4.0,4.5,4,900.0,171,56,99.0,1
spacious 3rd floor loft in home,Jamaica Plain,Entire home/apt,1.0,2.0,91,99.0,90,72,96.0,0
North End 1 BR Gem in Little Italy,North End,Entire home/apt,1.0,1.0,10,159.0,362,256,99.0,1
"New, furnished 1 bedroom apt w gym",Fenway,Entire home/apt,1.0,1.0,91,95.0,0,14,94.0,0
Beacon Hill Gem! Spacious One Bedroom,Beacon Hill,Entire home/apt,1.0,1.0,91,100.0,0,34,93.0,0
Roomy & Great Private Room with Airbed Near T!,Dorchester,Private room,1.0,1.0,30,33.0,296,11,93.0,0
"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",Fenway,Entire home/apt,1.0,1.0,9,130.0,57,50,97.0,1
"Back Bay Near Fenway, Hynes, the T",Back Bay,Entire home/apt,1.0,1.0,28,100.0,171,150,89.0,0
Ideal location for business or fun!,South Boston,Private room,1.0,1.0,2,99.0,365,136,95.0,0
Historic and Charming Brownstone,Charlestown,Entire home/apt,4.0,3.0,91,780.0,223,10,88.0,0
Sunny Comfortable Apt in JP,Jamaica Plain,Entire home/apt,2.0,1.0,91,200.0,0,13,95.0,0
Sunish & Giulia's Boston room on T,Dorchester,Private room,1.0,1.0,91,79.0,364,27,100.0,1
Charming Multi Family Home,Roxbury,Private room,1.0,1.5,91,50.0,365,13,95.0,0
Spacious 2 bedroom Apartment.,Roxbury,Entire home/apt,2.0,1.0,2,189.0,352,228,95.0,1
Two Room Master Suite with Spa Bath,Jamaica Plain,Private room,2.0,1.0,1,163.0,270,177,98.0,1
"Boston ШkolarFlat - safe space, nice view #BC/BU",Brighton,Entire home/apt,1.0,1.0,29,110.0,41,126,97.0,0
North End Luxurious Modern One Bedroom Condo-,North End,Entire home/apt,1.0,1.0,91,103.0,53,22,93.0,0
Spacious loft in the quiet suburbs #2,Brighton,Private room,1.0,1.0,30,34.0,53,12,97.0,1
"Lil’ Italy,Harbor Efficiency Private Entrance",North End,Private room,1.0,1.0,3,92.0,342,251,98.0,1
"Cozy, Clean, Convenient. Private 4 rm, 2 bdrm APT",Mattapan,Entire home/apt,2.0,1.0,2,58.0,78,187,95.0,1
Brand New One Bedroom in Back Bay,Back Bay,Entire home/apt,1.0,1.0,10,163.0,351,162,99.0,1
Inexpensive & Clean Private Bedroom with Airbed,Dorchester,Private room,1.0,1.0,30,32.0,296,10,90.0,0
Minshu's Boston room by subway,Dorchester,Private room,1.0,1.0,91,79.0,364,15,100.0,1
Luxury pet-friendly 2 bed by beautiful park!,Jamaica Plain,Entire home/apt,2.0,1.0,2,190.0,102,152,96.0,0
Modern Boston 2+ Bdrm Harvard/BU/BC/Boston Landing,Allston,Entire home/apt,3.0,1.0,2,148.0,0,133,94.0,1
Boston Apartment (North End),Downtown,Entire home/apt,1.0,1.0,1,179.0,350,389,97.0,1
South End Suite Vacation Rental M365-1,South End,Entire home/apt,1.0,1.0,3,198.0,176,31,90.0,1
Spacious loft in the quiet suburbs #3,Brighton,Private room,1.0,1.0,30,33.0,53,15,91.0,1
Top Rated Apartment! Exceptional Location!,East Boston,Entire home/apt,1.0,1.0,91,135.0,85,118,96.0,1
Sky-room in beautiful Victorian,Roxbury,Private room,1.0,2.0,91,50.0,357,16,94.0,0
3 min to subway T stop-Orange Line-10 min downtown,Charlestown,Private room,1.0,1.0,28,58.0,115,63,94.0,1
2BR Luxury Apt - Downtown/West End,Downtown,Entire home/apt,2.0,1.0,91,257.0,0,11,97.0,0
Penthouse in Back Bay,Beacon Hill,Entire home/apt,2.0,2.0,91,281.0,0,12,98.0,0
Stay with Fun Family (queen size bed),Mattapan,Private room,1.0,1.5,30,38.0,241,11,100.0,1
Private room in South Boston,South Boston,Private room,1.0,1.0,91,65.0,0,11,98.0,0
Lovely and Warm 2 Bedroom Condo (Close to the T),Jamaica Plain,Entire home/apt,2.0,2.0,2,160.0,0,22,99.0,0
The 1880 House: Historic Single Family Victorian!,West Roxbury,Entire home/apt,5.0,1.5,5,500.0,296,11,100.0,0
Boston Brownstone,Fenway,Entire home/apt,2.0,1.0,2,179.0,27,123,97.0,1
5 ⭐️ stay in historic SouthEnd  Boston free parking,South End,Entire home/apt,1.0,1.5,2,225.0,317,204,100.0,1
Comfy room,Brighton,Private room,4.0,1.0,91,50.0,0,11,84.0,0
Mahar family room,Mattapan,Private room,1.0,1.5,1,55.0,308,42,93.0,0
"Elegant room, colorful artist home",Jamaica Plain,Private room,1.0,1.0,91,65.0,0,12,97.0,0
"In the Heart of Back Bay, Boston",Back Bay,Entire home/apt,1.0,1.0,10,375.0,0,27,96.0,1
"1 bedroom 1 bathroom in South End, Boston",South End,Entire home/apt,1.0,1.0,91,210.0,0,30,98.0,0
3 bedroom apt next to T stop-off street parking,Charlestown,Entire home/apt,3.0,1.0,1,189.0,309,331,98.0,1
"Andrew Sq, South Boston - Modern Condo",South Boston,Entire home/apt,1.0,1.0,91,150.0,0,20,96.0,0
Beautiful Apartment-5 Beds-Parking-Super Clean!,West Roxbury,Entire home/apt,3.0,1.0,2,81.0,262,197,95.0,0
Sunny renovated 1 bed in friendly East Boston,East Boston,Entire home/apt,1.0,1.0,91,147.0,0,37,97.0,0
3 min to T stop-Boston/Somerville/Cambridge access,Charlestown,Private room,1.0,1.0,28,59.0,260,18,96.0,1
Big and comfortable room with queen bed.,Roxbury,Private room,1.0,1.5,91,35.0,177,19,97.0,1
Back Bay with Style,Fenway,Entire home/apt,1.0,1.0,10,135.0,1,43,99.0,1
Ideal for Families - Spacious Charlestown Townhome,Charlestown,Entire home/apt,3.0,3.5,2,314.0,0,19,100.0,1
Charming Beacon Hill apartment with outdoor space,Downtown,Entire home/apt,1.0,1.0,3,144.0,161,184,97.0,1
Quaint North End One Bedroom -Near everything,North End,Entire home/apt,1.0,1.0,28,93.0,364,38,81.0,0
Historic townhouse in center of Boston,Downtown,Entire home/apt,2.0,1.5,2,257.0,147,227,97.0,1
Comfortable quite room.,Roxbury,Private room,1.0,1.5,30,30.0,161,13,100.0,1
"Allston, Close to Harvard Business School + BU G",Allston,Private room,1.0,2.0,91,73.0,325,115,95.0,0
"Allston, Close to Harvard Business School + BU H",Allston,Private room,1.0,2.0,91,73.0,309,188,93.0,0
Montgomery Place - One Bedroom,South End,Entire home/apt,1.0,1.0,28,66.0,58,130,99.0,0
☆BostonAirport/T/Downtown/TDgarden/Convention Ctr☆,East Boston,Entire home/apt,1.0,1.0,3,141.0,23,557,94.0,1
"Allston, Close to Harvard Business School + BU I",Allston,Private room,1.0,2.0,91,73.0,297,119,93.0,0
Incredible Apartment,South Boston Waterfront,Entire home/apt,1.0,1.0,91,175.0,60,24,95.0,0
"Allston, Close to Harvard Business School + BU F",Allston,Private room,1.0,2.0,91,73.0,309,163,93.0,0
Walk To Beach or City 2 - Spacious Room,Dorchester,Private room,1.0,1.0,1,51.0,361,268,90.0,0
Boston Large Modern Newly Renovated Bi-Level,Roslindale,Entire home/apt,3.0,2.0,3,200.0,227,101,99.0,1
"Modern Guest Room, Private Bath near airport/city",East Boston,Private room,1.0,1.0,1,162.0,0,551,96.0,1
~*30min to Downtown*~ THE COSMOPOLITAN,Hyde Park,Entire home/apt,2.0,1.0,1,71.0,171,162,99.0,1
Beautiful 2-bed near Downtown Boston!,Fenway,Entire home/apt,2.0,1.0,91,125.0,90,10,92.0,1
Sonder | Winthrop Square | Warm 1BR,Downtown,Entire home/apt,1.0,1.0,30,96.0,328,46,90.0,0
Calm and cozy room in clean Apt,Hyde Park,Private room,1.0,1.0,91,28.0,364,10,86.0,1
Abigayle's Bed and Breakfast M263 Q3a,Fenway,Private room,1.0,1.0,2,175.0,202,59,98.0,1
Sonder | Winthrop Square | Modern 1BR,Downtown,Entire home/apt,1.0,1.0,30,96.0,315,57,90.0,0
Sunny studio in JP!,Jamaica Plain,Entire home/apt,1.0,1.0,3,75.0,320,215,99.0,1
Room in a house 3 min to T stop-10 min to downtown,Charlestown,Private room,1.0,1.0,28,59.0,146,28,97.0,1
Cozy room(A) near T and downtown Boston,South Boston,Private room,1.0,1.0,3,89.0,166,26,85.0,0
"Pleasant room(B)Near T,downtown, convention center",South Boston,Private room,1.0,2.0,90,109.0,364,41,84.0,0
"Comfy room (C) near T, convention center, downtown",South Boston,Private room,1.0,2.0,91,109.0,364,35,86.0,0
Beautiful and Cozy Entire Apt in Boston,Dorchester,Entire home/apt,3.0,1.0,5,185.0,216,64,98.0,1
"Modern Room, Private Bath near airport & city",East Boston,Private room,1.0,1.0,1,158.0,0,142,97.0,1
"4B2B Near T, Boston downtown, Convention Center",South Boston,Entire home/apt,4.0,2.0,3,399.0,351,42,86.0,0
Private Room in Cozy Home,Roslindale,Private room,1.0,1.0,2,50.0,0,101,98.0,1
TWO FLOOR CONDO W/ PRIVATE DECK & ROOF DECK,Charlestown,Entire home/apt,2.0,1.5,91,153.0,0,17,94.0,0
Beautiful Boston Brownstone,Roxbury,Entire home/apt,2.0,1.0,3,400.0,350,54,100.0,1
Charming Beacon Hill One Bedroom,Beacon Hill,Entire home/apt,1.0,1.0,28,89.0,262,212,97.0,1
Gorgeous 3BR/3BA duplex Parking. Ctr. Boston MG-1,North End,Entire home/apt,3.0,3.0,2,349.0,338,110,95.0,1
"2 BR | 1 BA  Close to DWTN & Medical, Free PRKG",Jamaica Plain,Entire home/apt,2.0,1.0,5,140.0,285,113,95.0,1
# friendly family home,Mattapan,Private room,1.0,1.5,1,55.0,317,30,99.0,0
3rd flr hide-away in beautiful home in Central JP,Jamaica Plain,Entire home/apt,1.0,1.0,3,99.0,296,84,97.0,1
⍟ Lofty South End Room with Street Parking! ⍟,South End,Private room,1.0,1.0,5,100.0,58,101,96.0,1
Brookline - Mod Apartment in Classic Neighborhood,Allston,Entire home/apt,1.0,1.0,3,300.0,151,40,100.0,0
"NUSubmarine.#Boston,NU,Berklee,NEC,+Easy public T",Roxbury,Entire home/apt,2.0,1.0,30,186.0,28,145,94.0,0
North End 2 BR | 1 BA Duplex in Little Italy,North End,Entire home/apt,2.0,1.0,10,185.0,348,186,98.0,1
Blue Family  bedroom,Mattapan,Private room,1.0,1.5,1,55.0,296,65,95.0,0
Luxury condo in the heart of JP,Jamaica Plain,Entire home/apt,1.0,2.0,4,200.0,0,14,97.0,0
Cozy Remodeled Compact  Apartment,West Roxbury,Entire home/apt,2.0,1.0,1,125.0,296,111,89.0,1
Luxury 2BD Southie Condo Near Seaport w/ Roof Deck,South Boston,Entire home/apt,2.0,2.0,7,425.0,88,40,98.0,1
Private Room - Commonwealth Avenue,Fenway,Private room,1.0,1.0,91,65.0,0,14,94.0,0
Modern living in a conveniently located brownstone,Roxbury,Entire home/apt,1.0,1.0,91,125.0,322,88,96.0,0
"Downtown Crossing ARTlab, 2 Bedroom 1 Bath",Downtown,Entire home/apt,2.0,1.0,9,135.0,34,35,93.0,1
Urban oasis: 2 pvt rooms+guest bath,Roxbury,Private room,2.0,1.5,2,95.0,0,101,99.0,1
French Tudor suite in Chestnut Hill,West Roxbury,Private room,1.0,1.0,91,120.0,362,83,91.0,1
1 Bedroom in prime North End,North End,Entire home/apt,1.0,1.0,91,110.0,0,18,95.0,0
Experience ARTlab Back Bay,Back Bay,Entire home/apt,1.0,1.0,10,135.0,56,12,93.0,1
Sonder | Financial District | Stunning 2BR,Downtown,Entire home/apt,2.0,2.0,30,162.0,329,86,93.0,0
Boston @ Its Finest,Fenway,Entire home/apt,1.0,1.0,10,131.0,73,25,97.0,1
Convenient Location Private 1 Bdr 1st Floor Apt,Jamaica Plain,Entire home/apt,1.0,1.0,3,135.0,326,53,99.0,1
Fully-Equipped Private 1 Bedroom 2nd Floor Apt,Jamaica Plain,Entire home/apt,1.0,1.0,3,135.0,296,140,98.0,1
Welcoming 2 Bedroom Apt - Close proximity to MBTA,Jamaica Plain,Entire home/apt,2.0,1.0,2,150.0,222,107,100.0,1
SPACIOUS TOWNHOUSE with Essential Amenities,Mattapan,Entire home/apt,3.0,1.0,3,181.0,306,45,94.0,1
Charming 3 BR Home in Quiet Boston Neighborhood,West Roxbury,Entire home/apt,3.0,1.5,32,250.0,0,38,100.0,1
Be in the Heart of Boston,Fenway,Entire home/apt,1.0,1.0,10,135.0,58,44,97.0,1
"Charming room, in hip JP near The T  #2",Jamaica Plain,Private room,1.0,1.5,28,80.0,90,197,98.0,1
Modern 3.5 BR Single Family Home,South Boston,Entire home/apt,4.0,2.0,2,800.0,358,17,98.0,0
Sonder | Financial District | Modern 2BR,Downtown,Entire home/apt,2.0,2.0,30,162.0,346,52,93.0,0
"Victorian Charm, Modern Living: South End/Back Bay",South End,Entire home/apt,2.0,2.0,2,300.0,333,145,99.0,1
"Mt Restmore, COZY spacious and Clean",Hyde Park,Private room,1.0,2.0,2,51.0,0,42,92.0,0
Historic townhouse in the heart of Boston,Chinatown,Entire home/apt,3.0,1.5,3,293.0,125,111,96.0,1
Abigayle's Bed and Breakfast M263 King/Singles,Fenway,Private room,1.0,1.0,2,175.0,203,46,99.0,1
Abigayle's Bed and Breakfast Single M263 S3,Fenway,Private room,1.0,1.0,2,130.0,203,49,98.0,1
The apartment you were looking for!,South Boston,Private room,1.0,1.0,1,155.0,359,33,97.0,0
"Charming room, in hip JP near The T  #1",Jamaica Plain,Private room,1.0,1.5,2,70.0,0,230,99.0,1
"Large room, 2nd floor, wood floor",South Boston,Private room,1.0,1.0,5,56.0,99,74,90.0,0
Sonder | Financial District | Chic 2BR,Downtown,Entire home/apt,2.0,2.0,30,175.0,283,56,94.0,0
Large Room near Boston Landing/Harvard Sq,Allston,Private room,1.0,1.0,91,119.0,179,13,95.0,0
Luxurious and Spacious 3 BR private apt near train,East Boston,Entire home/apt,3.0,2.0,91,279.0,238,48,95.0,0
"New Construction Comfort, Easy To Get Everywhere",Charlestown,Private room,1.0,1.0,3,125.0,0,22,100.0,1
Spacious Private Room in Southie.,South Boston,Private room,1.0,1.0,91,105.0,365,15,95.0,0
☆SPECTACULAR CONDO☆ minutes from downtown!,East Boston,Entire home/apt,1.0,1.0,91,178.0,0,245,97.0,1
219 on the Ocean with Private Bath,Dorchester,Private room,1.0,1.0,1,97.0,358,206,99.0,1
"""Casita"" on the Water",Charlestown,Private room,1.0,1.0,1,239.0,177,36,97.0,1
"CDC cleaning, Modern, Spacious, 2Bedroom + Balcony",Brighton,Entire home/apt,2.0,1.0,32,190.0,41,41,89.0,0
"Enjoy private entrance and bath, walk to subway.",Dorchester,Private room,1.0,1.0,3,105.0,267,99,99.0,1
Washer+Dryer+Parking!*Private suite*Cul de sac*,Brighton,Entire home/apt,1.0,1.0,2,71.0,36,125,99.0,1
"Cute 1 bedroom in East Boston,  close to airport",East Boston,Entire home/apt,1.0,1.0,1,90.0,155,270,96.0,1
Spacious & Elegant Charlestown Condo Near Downtown,Charlestown,Entire home/apt,1.0,2.0,91,155.0,0,13,98.0,0
Boston South End Condo - Loft & Working Wood Stove,South End,Entire home/apt,1.0,1.0,29,156.0,326,127,98.0,1
"1 BR Lux Furn Apt, WiFi, On-Site Parking, & View",South Boston,Entire home/apt,1.0,1.0,25,195.0,0,113,99.0,1
☆FABULOUS CONDO☆ minutes from downtown!,East Boston,Entire home/apt,1.0,1.0,91,159.0,0,276,96.0,1
Cozy private  room,Roxbury,Private room,1.0,1.0,91,53.0,364,41,98.0,0
Cozy private quiet room,Roxbury,Private room,1.0,1.0,91,60.0,364,53,100.0,0
Sonder | Winthrop Square | Bold 1BR,Downtown,Entire home/apt,1.0,1.0,30,96.0,328,34,88.0,0
"Location, Location, Location",South Boston,Entire home/apt,1.0,1.0,2,189.0,46,85,99.0,1
Historic JP Brownstone with Parking. Pets Welcome!,Jamaica Plain,Entire home/apt,1.0,1.5,2,83.0,44,232,98.0,1
BEAUTIFUL BEACON HILL 2 BEDROOM!,Beacon Hill,Entire home/apt,2.0,1.0,5,192.0,328,218,98.0,1
Spacious | Cozy | Brownstone on Comm | 1BR 1 BA #1,Back Bay,Entire home/apt,1.0,1.0,28,149.0,151,52,95.0,0
North End Efficient 3 BR | 1 BA in Little Italy,North End,Entire home/apt,3.0,1.0,10,196.0,350,155,98.0,1
The Canopy,Roxbury,Entire home/apt,3.0,2.0,2,350.0,0,14,99.0,0
Sunny 1-bed apt in central Boston's Bay Village,Bay Village,Entire home/apt,1.0,1.0,2,160.0,116,145,98.0,1
Savin Hill by the Sea with Private Bath,Dorchester,Private room,1.0,1.0,1,100.0,354,194,99.0,1
Sonder | Winthrop Square | Charming 1BR,Downtown,Entire home/apt,1.0,1.0,30,96.0,228,49,90.0,0
Sonder | Winthrop Square | Vibrant 1BR,Downtown,Entire home/apt,1.0,1.0,30,96.0,326,18,83.0,0
Spacious 1BR w/Full Bath on Dorchester Heights,South Boston,Private room,1.0,1.0,2,77.0,167,159,98.0,1
Fully Renovated 1 bedroom near Airport,East Boston,Entire home/apt,1.0,1.0,2,151.0,27,112,99.0,1
Sonder | Winthrop Square | Lovely 2BR,Downtown,Entire home/apt,2.0,2.0,30,119.0,302,68,91.0,0
Sonder | Winthrop Square | Lovely 1BR,Downtown,Entire home/apt,1.0,1.0,30,96.0,147,79,87.0,0
"Historic Charlestown (Boston), updated 1 bed!",Charlestown,Entire home/apt,1.0,1.0,2,265.0,174,14,99.0,0
"New Construction Comfort, Easy To Get Everywhere",Charlestown,Private room,1.0,1.0,3,125.0,0,11,100.0,1
"Private Full Bath, Cozy Room, Amazing Location",Mission Hill,Private room,1.0,1.0,14,108.0,85,333,99.0,1
"Beautifully renovated 1 Bed Apt. - Allston, Boston",Allston,Entire home/apt,1.0,1.0,1,108.0,186,364,98.0,0
Beautiful all furnish Home,Roslindale,Entire home/apt,3.0,1.0,2,180.0,174,167,97.0,1
Lrg 4 Bdrm Prvt. Patio Quiet Top Location Parking,Bay Village,Entire home/apt,4.0,1.0,2,256.0,62,165,97.0,1
South Boston Condo,South Boston,Entire home/apt,1.0,1.0,2,325.0,87,11,96.0,0
Large relaxing apt. next to metro 20min to Boston,Dorchester,Entire home/apt,3.0,2.0,3,120.0,241,131,97.0,1
Marco and Marcela’s room,Dorchester,Private room,1.0,1.0,91,67.0,180,11,95.0,1
Beautiful 1 Bed with excellent location!,Downtown,Entire home/apt,1.0,1.0,91,90.0,32,105,91.0,0
Back Bay Condo on Marlborough Street!,Back Bay,Entire home/apt,1.0,1.5,30,350.0,43,29,94.0,0
