name,type,borough,street,city,zip_code,state,latitude,longitude,average_rating,num_reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified,place_id
Bar Roma,Italian restaurant,Uptown,5101 N Clark St,Chicago,60640,Illinois,41.9744963,-87.6680821,4.6,822,12,19,51,141,599,464,OPERATIONAL,$$,True,ChIJcReJ4SfSD4gRTHFLUwR7HWg
Red Barrel Restaurant,Family restaurant,Archer Heights,5214 S Archer Ave,Chicago,60632,Illinois,41.8000058,-87.7353615,4.4,834,34,39,60,156,545,928,OPERATIONAL,$$,True,ChIJmRXesZ8xDogRVESoQvZ0IRk
Spacca Napoli Pizzeria,Pizza restaurant,Ravenswood,1769 W Sunnyside Ave,Chicago,60640,Illinois,41.9631881,-87.6737274,4.7,2857,43,23,84,337,2370,1834,OPERATIONAL,$$,True,ChIJH-W6YjzSD4gRBjteTfMbtak
Rebar,Restaurant,Near North Side,"Mezzanine, 401 N Wabash Ave 14th Floor",Chicago,60611,Illinois,41.8888012,-87.6263094,4.3,121,11,2,6,22,80,239,OPERATIONAL,$$$$,True,ChIJA6EvXa4sDogRDaB-PygnNSQ
Ada Street,Restaurant,West Town,1664 N Ada St,Chicago,60642,Illinois,41.9125186,-87.6623571,4.7,457,6,8,15,64,364,451,OPERATIONAL,$$,True,ChIJK5WKjt7SD4gRxcuBA_R_aXo
Thai Neighbor,Thai restaurant,,250 Chicago Ave,Oak Park,60302,Illinois,41.8947825,-87.7824437,4.7,120,4,4,3,4,105,122,OPERATIONAL,$$,True,ChIJeQUsWLc1DogRGObVsLxhfP8
Ravinia Brewing Company,Brewpub,Logan Square,2601 W Diversey Ave,Chicago,60647,Illinois,41.9319463,-87.6929492,4.4,246,13,7,13,39,174,360,OPERATIONAL,$$,True,ChIJdf10pzAtDogREJowKqDQ7wQ
Bayan Ko,Filipino restaurant,Ravenswood,1810 W Montrose Ave,Chicago,60613,Illinois,41.96162,-87.674965,4.6,389,11,5,17,44,312,664,OPERATIONAL,,True,ChIJF2DcZgPTD4gRKm-aJ9pu4BM
Hollywood Grill,Diner,Wicker Park,1601 W North Ave,Chicago,60622,Illinois,41.9104706,-87.667928,4.3,601,52,17,29,118,385,353,OPERATIONAL,$$,True,ChIJv1Fo2U_TD4gRhQm_bu8cq34
Munno Pizzeria & Bistro,Pizza restaurant,Ravenswood,4656 N Clark St,Chicago,60640,Illinois,41.9669144,-87.6672169,4.7,245,6,2,4,32,201,123,OPERATIONAL,$$,True,ChIJs1572sXTD4gRX4k901UOHdY
Cafecito,Cuban restaurant,Streeterville,215 E Chestnut St,Chicago,60611,Illinois,41.8981921,-87.6212748,4.4,2359,136,65,118,387,1653,1223,OPERATIONAL,$,True,ChIJK2h_UlTTD4gRMtZvkuFGt1o
Easy Street Pizza & Beer Garden,Pizza restaurant,Portage Park,3750 N Central Ave,Chicago,60634,Illinois,41.9491862,-87.7671093,4.5,864,33,16,56,138,621,321,OPERATIONAL,$$,True,ChIJuexTO3DMD4gRvCOuNBFLUc8
RAMEN-SAN Deluxe,Ramen restaurant,Streeterville,165 E Huron St,Chicago,60611,Illinois,41.8948318,-87.6229935,4.4,1796,71,55,121,320,1229,1720,OPERATIONAL,$$,True,ChIJE6f7eTgtDogRqCWFhg4b1NQ
