name,type,borough,street,city,zip_code,state,latitude,longitude,average_rating,num_reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified,place_id
Qing Xiang Yuan Dumplings,Dumpling restaurant,Armour Square,2002 S Wentworth Ave #103,Chicago,60616,Illinois,41.8551711,-87.6319894,4.6,2571,71,63,143,356,1938,2527,OPERATIONAL,$$,True,ChIJMaWLcmIsDogR7d-87VAKkbQ
Hangry's,Restaurant,Belmont Cragin,5000 W Fullerton Ave,Chicago,60639,Illinois,41.9245618,-87.7514602,4.6,807,23,18,38,88,640,404,OPERATIONAL,$$,True,ChIJueWI63nND4gR_pgRE0-FIBo
Horse Thief Hollow,Restaurant,South Side,10426 S Western Ave,Chicago,60643,Illinois,41.703866,-87.681948,4.5,538,22,12,28,107,369,419,OPERATIONAL,$$,True,ChIJHc-WwCMlDogRTeP3gtGcwNQ
Cafe El Meson,Puerto Rican restaurant,South Side,4631 S Kedzie Ave,Chicago,60632,Illinois,41.8090179,-87.7037459,4.8,571,9,8,11,48,495,312,OPERATIONAL,$,True,ChIJby4TE_sxDogRpNV8Qa0jr9w
Taco Bell Cantina,Fast food restaurant,Near North Side,1160 N Clark St,Chicago,60610,Illinois,41.9037,-87.6317,2.9,150,62,11,14,13,50,92,OPERATIONAL,$,True,ChIJvW5o--DTD4gRqmh2RzERRic
Flat Top Grill,Asian fusion restaurant,Chicago Loop,30 S Wabash Ave,Chicago,60603,Illinois,41.8811278,-87.6263889,4.2,2560,151,106,250,597,1456,1391,OPERATIONAL,$$,True,ChIJ8c2DiaQsDogRPnIg1eFnKl0
Coco Pazzo,Italian restaurant,Near North Side,300 W Hubbard St,Chicago,60654,Illinois,41.8902,-87.635807,4.5,642,13,18,46,101,464,994,OPERATIONAL,$$$,True,ChIJM7K_gLYsDogRkmdAgJsxL54
Gene & Georgetti,Steak house,Near North Side,500 N Franklin St,Chicago,60654,Illinois,41.8908839,-87.6357762,4.5,1903,69,65,119,278,1372,1977,OPERATIONAL,$$$,True,ChIJ8-60LbQsDogRcZ-sM7qUNPA
The Berghoff Restaurant,German restaurant,Chicago Loop,17 W Adams St,Chicago,60603,Illinois,41.879252,-87.628406,4.5,4403,69,98,357,1121,2758,4753,OPERATIONAL,$$,True,ChIJ00KvtLwsDogR3GNih9CYiQs
India House Restaurant Chicago,Indian restaurant,Near North Side,59 W Grand Ave,Chicago,60654,Illinois,41.891367,-87.6303965,4.4,4820,257,128,268,753,3414,2161,OPERATIONAL,$$,True,ChIJ-T0KSLIsDogRHgkWFAe3uT8
PAZZO'S,Italian restaurant,Chicago Loop,311 S Wacker Dr,Chicago,60606,Illinois,41.87746,-87.6361386,4.4,229,5,4,16,75,129,212,OPERATIONAL,$$,True,ChIJaxvsur8sDogRIGvn1542yOI
Soulé,Soul food restaurant,Lawndale,3615 W Roosevelt Rd,Chicago,60624,Illinois,41.8660012,-87.716194,4.1,1848,199,94,160,315,1080,1124,OPERATIONAL,$$,True,ChIJOycCLzUtDogReXXnxVrtZrU
Maxwells Trading,Restaurant,West Loop,1516 W Carroll Ave,Chicago,60607,Illinois,41.8876644,-87.6652479,4.6,174,5,2,14,15,138,323,OPERATIONAL,,True,ChIJZftHjnAtDogRevLY7PXWbd8
Noon O Kabab Chicago,Restaurant,Kimball,4701 N Kedzie Ave,Chicago,60625,Illinois,41.9670764,-87.7080632,4.5,3863,235,87,157,547,2837,2977,OPERATIONAL,$$,True,ChIJr7g8WeXND4gRmKj_z_-JQuQ
Valois Restaurant,American restaurant,Hyde Park,1518 E 53rd St,Chicago,60615,Illinois,41.7997683,-87.5883172,4.5,2347,54,27,160,494,1612,904,OPERATIONAL,$,True,ChIJwx63BHIpDogRd9-Kwp9TAj8
Columbia Yacht Club,Yacht club,,111 N DuSable Lake Shore Dr,Chicago,60601,Illinois,41.8839728,-87.6123348,4.8,399,4,1,11,56,327,1384,OPERATIONAL,,False,ChIJrUqZVFgrDogRKmQqKewOmE0
Carnitas Uruapan Restaurant,Mexican restaurant,Heart of Chicago,1725 W 18th St,Chicago,60608,Illinois,41.8575813,-87.6696819,4.6,2669,80,43,130,347,2069,1156,OPERATIONAL,$,True,ChIJ9eemRwgtDogR_EsmnDF1M4E
Superdawg Drive-In,Hot dog stand,Norwood Park East,6363 N Milwaukee Ave,Chicago,60646,Illinois,41.9967817,-87.7870347,4.5,6159,181,130,384,1026,4438,3509,OPERATIONAL,$,True,ChIJcWh97kfJD4gR9zRthArTV6A
Gibsons Bar & Steakhouse,Steak house,Near North Side,1028 N Rush St,Chicago,60611,Illinois,41.9013961,-87.6280861,4.6,5938,166,124,251,831,4566,5303,OPERATIONAL,$$$$,True,ChIJIWnn51HTD4gR1Ie6zt2J2dE
White Castle,Fast food restaurant,,2209 S Cicero Ave,Cicero,60804,Illinois,41.8502778,-87.7438889,3.7,1021,133,79,153,219,437,43,OPERATIONAL,$,True,ChIJcQhvLK4zDogR16NYyYk7JRU
LongHorn Steakhouse,Steak house,,7115 Cermak Rd,Berwyn,60402,Illinois,41.8499517,-87.8023325,4.1,2846,241,127,245,615,1618,940,OPERATIONAL,$$,True,ChIJFfUOals0DogROF3y3SfdMkQ
The Walnut Room,American restaurant,Chicago Loop,111 N State St,Chicago,60602,Illinois,41.8833498,-87.6270667,4.3,1500,91,72,115,286,936,1755,OPERATIONAL,$$,True,ChIJrc2yQaUsDogRw-2jEIOgV9c
Twin Anchors Restaurant & Tavern,Barbecue restaurant,Old Town,1655 N Sedgwick St,Chicago,60614,Illinois,41.9127239,-87.6384224,4.7,1630,27,23,72,220,1288,881,OPERATIONAL,$$,True,ChIJH2QIfz_TD4gRawN6EJTH5ag
White Castle,Fast food restaurant,,9501 S Cicero Ave,Oak Lawn,60453,Illinois,41.719719,-87.740251,3.8,1194,152,68,168,259,547,95,OPERATIONAL,$,True,ChIJq6YqwGA6DogRhyR9QeD5usE
Sanders BBQ Supply Co,Barbecue restaurant,Beverly,1742 W 99th St,Chicago,60643,Illinois,41.7140233,-87.6671463,4.3,289,22,12,18,31,206,223,OPERATIONAL,$$,True,ChIJxSwDR-clDogRUt9Bfg2oU38
Armitage Alehouse,Restaurant,Sheffield Neighbors,1000 W Armitage Ave,Chicago,60614,Illinois,41.9183532,-87.6536,4.6,633,32,10,24,40,527,1097,OPERATIONAL,$$,True,ChIJO0zgvw3TD4gRtEez2q5Y-EA
White Castle,Fast food restaurant,,10339 W Grand Ave,Franklin Park,60131,Illinois,41.9296888,-87.8841222,3.9,1644,146,100,254,405,739,120,OPERATIONAL,$,True,ChIJdSp34w-1D4gRix0kevTzleY
Popeyes Louisiana Kitchen,Chicken restaurant,South Side,8732 S Stony Island Ave,Chicago,60617,Illinois,41.7359571,-87.5859164,3.2,1309,344,119,181,271,394,130,OPERATIONAL,$,True,ChIJET3GeoIoDogR_B6KoaBp0nw
Great Sea Restaurant,Chinese restaurant,Kimball,3253 W Lawrence Ave,Chicago,60625,Illinois,41.9683293,-87.7105411,4.3,1093,90,32,73,185,713,413,OPERATIONAL,$$,True,ChIJE7E8suXND4gRftwdg-HTqVE
Galit,Middle Eastern restaurant,Wrightwood Neighbors,2429 N Lincoln Ave,Chicago,60614,Illinois,41.9262961,-87.6494903,4.5,698,25,16,53,62,542,1582,OPERATIONAL,,True,ChIJ37gaSeXTD4gR4G_7yDPUKME
White Castle Restaurant,Fast food restaurant,,12156 S Cicero Ave,Alsip,60803,Illinois,41.6711291,-87.7394109,3.9,1065,110,58,153,236,508,84,OPERATIONAL,$,True,ChIJo8vFAJ07DogRKVNKTCt9iQI
White Castle,Fast food restaurant,South Side,1400 W 79th St,Chicago,60620,Illinois,41.7507634,-87.6590091,3.7,1589,185,121,314,363,606,93,OPERATIONAL,$,True,ChIJvYn_7J0vDogRao3vKbZ_adE
White Castle,Fast food restaurant,,10555 S Harlem Ave,Chicago Ridge,60415,Illinois,41.699373,-87.797237,4.0,986,91,40,137,224,494,97,OPERATIONAL,$,True,ChIJIRXVkwo5DogR7HxiGth0oEY
White Castle,Fast food restaurant,Englewood,6646 S Halsted St,Chicago,60621,Illinois,41.772895,-87.644949,3.9,1130,97,57,192,262,522,42,OPERATIONAL,$,True,ChIJndKQQxwvDogRirgwxxVdZ44
The Boiler Shrimp & Crawfish,Cajun restaurant,,3445 Dempster St,Skokie,60076,Illinois,42.0404966,-87.71512,4.4,954,54,23,61,146,670,725,OPERATIONAL,$$,True,ChIJ2ZK-eOvPD4gRxZPLG0hn_pg
White Castle,Fast food restaurant,,840 W North Ave,Melrose Park,60160,Illinois,41.9077785,-87.8445409,3.9,1049,103,65,158,239,484,68,OPERATIONAL,$,True,ChIJZZmHYLDKD4gR9uPNgYcFG8c
Aladdin Kitchen and Market,Turkish restaurant,,810 Elmhurst Rd,Des Plaines,60016,Illinois,42.0365906,-87.9413419,4.7,601,37,5,5,14,540,534,OPERATIONAL,$$,True,ChIJB1uAFPCxD4gRWiElUNEQqOM
Casino's Pizza,Pizza restaurant,,190 N Swift Rd Unit A,Addison,60101,Illinois,41.9314198,-88.0424347,4.1,124,20,4,9,6,85,91,OPERATIONAL,$$,True,ChIJNWSH5XutD4gRiiOY_Z3Z7po
White Castle,Fast food restaurant,,6059 LaGrange Rd,Countryside,60525,Illinois,41.7796416,-87.867647,3.9,1445,129,84,203,356,673,99,OPERATIONAL,$,True,ChIJ_dY-FjNIDogRSPBAkZFScUQ
Bishop's Chili,Restaurant,,250 N Cass Ave #1,Westmont,60559,Illinois,41.8017213,-87.9756718,4.3,245,12,10,27,31,165,123,OPERATIONAL,$,True,ChIJJZp1Ol5ODogRFTuOYBDJ2Ac
Old Vilnius Cafe Deli,Deli,,2601 75th St,Darien,60561,Illinois,41.7505989,-88.0088015,4.5,572,26,11,27,97,411,406,OPERATIONAL,$$,True,ChIJEwn2-PxPDogRltwxWWEmOIE
Indus Progressive Indian,Modern Indian restaurant,,617 Central Ave,Highland Park,60035,Illinois,42.1854758,-87.8005566,4.8,136,0,3,7,4,122,3,OPERATIONAL,,True,ChIJU1L_6pTBD4gRU8akPNRijk0
The Gage,American restaurant,Chicago Loop,24 S Michigan Ave,Chicago,60603,Illinois,41.8813268,-87.6246925,4.6,4272,59,67,230,1014,2902,3602,OPERATIONAL,$$$,True,ChIJ5a8ra6QsDogRENtJLAp40AE
Remington's,American restaurant,Chicago Loop,20 N Michigan Ave,Chicago,60602,Illinois,41.8826897,-87.6246716,4.5,2206,51,43,110,446,1556,1852,OPERATIONAL,$$,True,ChIJfecaS6QsDogRYoT-1zdAdJE
312 Chicago,Italian restaurant,Chicago Loop,136 N La Salle St,Chicago,60602,Illinois,41.8843462,-87.6328186,4.4,844,19,18,73,211,523,708,OPERATIONAL,$$$,True,ChIJCQKeF7osDogRXujVV3cHa_Y
The Capital Grille,Fine dining restaurant,Streeterville,633 N St Clair St,Chicago,60611,Illinois,41.893506,-87.622498,4.7,1825,42,27,61,254,1441,1365,OPERATIONAL,$$$$,True,ChIJo9QCaqssDogRmmJ0MAf-aeE
No Vacancy,Restaurant,Near North Side,509 N Wells St,Chicago,60654,Illinois,41.8911443,-87.6337336,4.8,174,3,1,2,14,154,169,OPERATIONAL,$$,True,ChIJW80a0KgtDogRQnr2pn9IkH4
Chubby Cattle BBQ | Chicago,Barbecue restaurant,Armour Square,2162 S Archer Ave,Chicago,60616,Illinois,41.8534773,-87.634573,4.9,2982,9,3,15,121,2834,1081,OPERATIONAL,,True,ChIJxTGJ2NstDogRY1uYLTWFaFI
White Castle,Fast food restaurant,,1551 River Oaks Dr,Calumet City,60409,Illinois,41.6006034,-87.5610074,4.0,1507,114,77,226,376,714,4,OPERATIONAL,$,True,ChIJ_aYO5UMgDogRIcBU5np2nw0
Smith & Wollensky - Chicago,Steak house,Near North Side,318 N State St,Chicago,60654,Illinois,41.8879887,-87.628606,4.4,2725,120,103,191,427,1884,3909,OPERATIONAL,$$$,True,ChIJ0UCxLa4sDogRMomCwKTcXS4
Ocean Prime,Seafood restaurant,Chicago Loop,87 E Wacker Dr,Chicago,60601,Illinois,41.8878127,-87.6252546,4.7,1131,25,15,40,124,927,1725,OPERATIONAL,$$$,True,ChIJP0_743EtDogRWv6-GyI8HVw
White Castle,Fast food restaurant,,3956 Guthrie St,East Chicago,46312,Indiana,41.640744,-87.433771,3.8,1108,101,86,236,240,445,67,OPERATIONAL,$,True,ChIJH1MnT27cEYgR9yoR5Wo732c
The J. Parker,Restaurant,Old Town,1816 N Clark St,Chicago,60614,Illinois,41.91527,-87.63438,4.3,1672,98,66,121,354,1033,1507,OPERATIONAL,$$,True,ChIJ1bF4CWrTD4gRf3FAlYUHeXI
Chicago Cut Steakhouse,Steak house,Near North Side,300 N La Salle Dr,Chicago,60654,Illinois,41.8880993,-87.6327417,4.4,2962,142,80,194,451,2095,2668,OPERATIONAL,$$$$,True,ChIJQ8QqIbEsDogReNfi-87G-4A
White Castle,Fast food restaurant,,2555 95th St,Evergreen Park,60805,Illinois,41.7206006,-87.687499,3.6,1209,180,106,202,266,455,4,OPERATIONAL,$,True,ChIJnxNwJkYlDogRv4GL_K0jbjg
White Castle,Fast food restaurant,,7900 S Harlem Ave,Bridgeview,60455,Illinois,41.747689,-87.800248,4.1,977,76,46,102,240,513,105,OPERATIONAL,$,True,ChIJrehEQmY3DogRdyhU_33tv-A
White Castle,Fast food restaurant,,4632 Calumet Ave,Hammond,46327,Indiana,41.6291367,-87.5092398,4.0,877,64,34,133,218,428,49,OPERATIONAL,$,True,ChIJj7l_-BnfEYgR-1Z44nBrpAc
Dillingers Drive-In Inc,Fast food restaurant,,1414 W 127th St,Calumet Park,60827,Illinois,41.6632001,-87.6566283,4.4,1076,53,31,69,237,686,146,OPERATIONAL,$$,True,ChIJ_Vsgx30kDogROFtumikuf2o
White Castle,Fast food restaurant,,6517 Calumet Ave,Hammond,46324,Indiana,41.594836,-87.5085491,3.9,1458,117,81,237,368,655,66,OPERATIONAL,$,True,ChIJUcDd6LffEYgRr7MsIjheLGM
White Castle,Fast food restaurant,,1879 Indianapolis Blvd,Whiting,46394,Indiana,41.6795644,-87.4991982,4.0,1041,77,50,157,250,507,107,OPERATIONAL,$,True,ChIJ5Usr7h3ZEYgRGASmI0l_gH8
Jibek Jolu Glenview,Fusion restaurant,,2601 Aviator Ln,Glenview,60026,Illinois,42.0882679,-87.8227988,4.5,1200,89,20,34,91,966,1091,OPERATIONAL,$$,True,ChIJvTswxNfHD4gRihKaJHRda4k
Pita Inn,Mediterranean restaurant,,9854 N Milwaukee Ave,Glenview,60025,Illinois,42.0598498,-87.8440639,4.6,3601,85,51,175,677,2613,752,OPERATIONAL,$,True,ChIJb79Q3eLHD4gREMG4almc-jA
White Castle,Fast food restaurant,,14700 S Cicero Ave,Midlothian,60445,Illinois,41.6247487,-87.7376798,3.8,1342,156,89,223,299,575,79,OPERATIONAL,$,True,ChIJxSypGFY8DogRXcsj93Navl4
Nonna Silvia's Trattoria & Pizzeria,Italian restaurant,,1400 Canfield Rd,Park Ridge,60068,Illinois,41.993232,-87.822442,4.6,946,24,20,50,160,692,812,OPERATIONAL,$$,True,ChIJ13jGepnJD4gRJ_wvzhgUmL8
El Taconazo La Fiesta,Mexican restaurant,,5600 W 35th St,Cicero,60804,Illinois,41.8293723,-87.7637027,3.9,552,81,25,62,104,280,136,OPERATIONAL,$$,True,ChIJ_TeA2rQzDogR5SiZru7ISL8
Beermiscuous,Bar,Lake View,2812 N Lincoln Ave,Chicago,60657,Illinois,41.9328472,-87.6594283,4.7,662,10,5,15,87,545,471,OPERATIONAL,$$,True,ChIJW6ETSv7SD4gRU81ef2JzAJ8
White Castle,Fast food restaurant,,1304 Broadway,Gary,46407,Indiana,41.58985,-87.3373849,3.6,1096,160,103,199,228,406,3,OPERATIONAL,$,True,ChIJw04zo2DCEYgRlWAJYAvSi2g
Viet Taste,Vietnamese restaurant,,7221 W Forest Preserve Dr,Norridge,60706,Illinois,41.9529906,-87.8082131,4.5,641,31,9,22,96,483,426,OPERATIONAL,$,False,ChIJO6Br1rDLD4gR4HVnvC29Fr8
White Castle,Fast food restaurant,,15902 Kedzie Ave,Markham,60426,Illinois,41.6004612,-87.6950279,3.8,1595,178,108,278,368,663,69,OPERATIONAL,$,True,ChIJ76APVcoiDogRtHFGNlcYH1E
Roister,New American restaurant,West Loop,951 W Fulton Market,Chicago,60607,Illinois,41.8865282,-87.6518464,4.5,1539,46,56,117,207,1113,3060,OPERATIONAL,$$$,True,ChIJg5a1l9AsDogRxwZw028T0kI
Trivoli Tavern,New American restaurant,West Loop,114 N Green St,Chicago,60607,Illinois,41.8838272,-87.6492538,4.6,1132,40,22,53,138,879,1840,OPERATIONAL,$$,True,ChIJSwROLIEtDogRw4rWhgp9Ehs
Carnivale,Latin American restaurant,West Loop,"702 West Fulton Market Street, 702 W Fulton St",Chicago,60661,IL,41.8869731,-87.6460081,4.4,4035,122,114,275,868,2656,4982,OPERATIONAL,$$,True,ChIJufo-n88sDogRT_JGk4egawU
BLVD Steakhouse,Steak house,West Loop,817 W Lake St,Chicago,60607,Illinois,41.885407,-87.648237,4.3,1285,88,66,108,194,829,1512,OPERATIONAL,$$$,True,ChIJE6lVU8UsDogRG9Wyf-QM6xY
Bar Siena,Italian restaurant,West Loop,832 W Randolph St,Chicago,60607,Illinois,41.884679,-87.6488272,4.4,3064,102,90,235,761,1876,2004,OPERATIONAL,$$,True,ChIJf3h_t9osDogReehZO7Hgk50
ROOP Chicago Innovative Indian Restaurant & Cocktail Bar,Indian restaurant,West Loop,736 W Randolph St,Chicago,60661,Illinois,41.8846536,-87.6471423,4.3,1580,90,75,125,254,1036,2692,OPERATIONAL,$$$,True,ChIJBx6ZFq4tDogR-tC978YLipw
SoJu BBQ,Korean restaurant,Near West Side,36 S Ashland Ave,Chicago,60607,Illinois,41.8804776,-87.6670036,4.3,628,50,28,47,91,412,707,OPERATIONAL,$$,True,ChIJiwECKsYtDogRv5NcbQIhYnc
Jerk. Jamaican Barbecue,Jamaican restaurant,River West,811 W Chicago Ave,Chicago,60642,Illinois,41.8962233,-87.6482988,4.2,1182,99,55,81,208,739,614,OPERATIONAL,$$,True,ChIJF2sW16wtDogRi8_3XszA1jE
The SoulFood Lounge 2,Soul food restaurant,South Side,10701 S Hale Ave,Chicago,60643,Illinois,41.6990179,-87.6688197,4.6,204,4,2,13,27,158,282,OPERATIONAL,,False,ChIJVRTSQ3MlDogRPxMe8Scyo64
Aloha Wagon,Hawaiian restaurant,Heart of Chicago,2023 S Western Ave,Chicago,60608,Illinois,41.8540363,-87.6854652,4.8,509,1,3,10,45,450,372,OPERATIONAL,$,True,ChIJKw9rSHAtDogRl25T5otZURU
Roux,Southern restaurant (US),Hyde Park,1055 E 55th St,Chicago,60615,Illinois,41.7948341,-87.6003897,4.6,775,15,18,41,151,550,697,OPERATIONAL,$$,True,ChIJixq0WBkpDogRTtEh9UHD5t0
Ignotz's Ristorante,Pizza restaurant,Heart of Chicago,2421 S Oakley Ave,Chicago,60608,Illinois,41.8478156,-87.6828076,4.8,922,10,6,18,95,793,515,OPERATIONAL,$$,True,ChIJj5x_9ZktDogRQoOgKJq4B6g
Phil's Pizza,Pizza restaurant,,8932 Ridgeland Ave,Oak Lawn,60453,Illinois,41.730141,-87.780746,4.5,1085,87,17,38,119,824,118,OPERATIONAL,$$,False,ChIJqYtC7_k5DogRrZR_Gb__jj8
White Castle,Fast food restaurant,,12709 S Western Ave,Blue Island,60406,Illinois,41.6623768,-87.6797145,3.7,1624,198,119,268,360,679,85,OPERATIONAL,$,True,ChIJjTNnNxYjDogRAElUUT__HwQ
White Castle,Fast food restaurant,,15801 S Harlem Ave,Orland Park,60462,Illinois,41.6038889,-87.7936111,4.2,876,65,25,114,177,495,71,OPERATIONAL,$,True,ChIJ7UD09mo-DogRAPkZFo1fpCI
El Chaparro Mexican food,Mexican restaurant,,8613 W 95th St,Hickory Hills,60457,Illinois,41.717838,-87.8331846,4.3,228,19,7,13,30,159,77,OPERATIONAL,$$,True,ChIJSROutMI5DogRCWtodJewvLE
La Catedral Cafe - Little Village,Mexican restaurant,South Lawndale,2500 S Christiana Ave,Chicago,60623,Illinois,41.8461602,-87.7090214,4.5,3114,179,66,181,434,2254,2023,OPERATIONAL,$$,True,ChIJw3dWlm8yDogRTedodwaaYuI
PR Italian Bistro,Italian restaurant,Wrigleyville,3908 N Sheridan Rd,Chicago,60613,Illinois,41.9530746,-87.6547562,4.5,664,19,23,36,122,464,333,OPERATIONAL,$$,True,ChIJo2UNtrXTD4gRV_AGcouPFMY
Bodega Sur,Argentinian restaurant,Wrigleyville,3755 N Southport Ave,Chicago,60613,Illinois,41.9505503,-87.6637842,4.6,495,13,8,20,79,375,325,OPERATIONAL,$$,True,ChIJAW4lTUnSD4gRPc_AfkochmY
The Reservoir,Restaurant,Uptown,844 W Montrose Ave,Chicago,60613,Illinois,41.9620847,-87.6517652,4.4,704,27,14,43,171,449,294,OPERATIONAL,$$,True,ChIJozLQ7c7TD4gRTSdwCiNGXck
Amici-Chicago,Restaurant,Lake View,3933 N Broadway,Chicago,60613,Illinois,41.9537444,-87.6498635,5.0,132,0,0,0,3,129,110,OPERATIONAL,$$,True,ChIJz_yYwDLTD4gRLu-eaAvafUg
Mordecai,Brasserie,Wrigleyville,3632 N Clark St,Chicago,60613,Illinois,41.9477882,-87.6572657,4.5,309,14,13,16,37,229,343,OPERATIONAL,,True,ChIJVT4HKLPTD4gR6eF29XpGUiI
"The Chicago Diner, Lakeview",Diner,Lake View,3411 N Halsted St,Chicago,60657,Illinois,41.9440107,-87.6491327,4.7,3041,55,38,148,420,2380,2181,OPERATIONAL,$$,True,ChIJL4Illa_TD4gRgIGc4TYXoD8
North Pond,American restaurant,Lincoln Park,2610 N Cannon Dr,Chicago,60614,Illinois,41.9298705,-87.6374652,4.6,548,17,8,27,61,435,1476,OPERATIONAL,$$$$,True,ChIJt2vvlXTTD4gRHTP-0F3Hnyg
Itoko,Japanese restaurant,Lake View,3325 N Southport Ave,Chicago,60657,Illinois,41.9422969,-87.6636994,4.8,890,12,10,24,39,805,677,OPERATIONAL,$$,True,ChIJy5Vs8Q3TD4gRKASmBweYcjY
Range,New American restaurant,Sheffield Neighbors,1119 W Webster Ave,Chicago,60614,Illinois,41.9215923,-87.6567591,4.6,393,3,4,25,76,285,270,OPERATIONAL,$$,True,ChIJ6UgZwh3TD4gR3InT-zYh4Bc
The Lakefront Restaurant at Theater on the Lake,American restaurant,Lincoln Park,2401 N DuSable Lake Shore Dr,Chicago,60614,Illinois,41.9269518,-87.6308916,4.4,487,20,16,33,79,339,479,OPERATIONAL,$$$,True,ChIJbYnaU3DTD4gRgcGd6pOfTS4
SIFR,Middle Eastern restaurant,Near North Side,660 N Orleans St,Chicago,60654,Illinois,41.8941356,-87.63737,4.3,228,12,12,15,35,154,354,OPERATIONAL,$$,True,ChIJF5Jxe-4tDogRjL3u78pqCGA
Steingold's of Chicago,Restaurant,Wrigleyville,3737 N Southport Ave,Chicago,60613,Illinois,41.9500767,-87.663925,4.3,658,52,30,47,91,438,435,OPERATIONAL,$$,True,ChIJDSLsXUDSD4gRx6GSMSuSuMU
White Castle,Fast food restaurant,,1400 Sibley Blvd,Dolton,60419,Illinois,41.6229782,-87.581853,3.7,2113,254,156,407,476,820,68,OPERATIONAL,$,True,ChIJKzx5pQMhDogRxGque8kUzTY
L. Woods Tap & Pine Lodge,Barbecue restaurant,,7110 Lincoln Ave,Lincolnwood,60712,Illinois,42.0101169,-87.737834,4.5,3069,55,59,179,675,2101,1437,OPERATIONAL,$$,True,ChIJoy2oufjOD4gRHMzwbhgsE3E
Il Culaccino - Chicago Italian Restaurant,Italian restaurant,South Loop,2134 S Indiana Ave,Chicago,60616,Illinois,41.853206,-87.622482,4.3,676,43,31,44,134,424,573,OPERATIONAL,$$,True,ChIJMcIdYX4sDogRuBFBB1_9GKg
The Loyalist,New American restaurant,West Loop,177 N Ada St #001,Chicago,60607,Illinois,41.8851063,-87.6606021,4.4,533,29,14,34,75,381,905,OPERATIONAL,,True,ChIJNch6ec8tDogRHtOZrHXV5s0
Mother's Ruin,Bar,Avondale,2943 N Milwaukee Ave,Chicago,60618,Illinois,41.934971,-87.7164668,4.7,317,14,6,5,24,268,201,OPERATIONAL,$$,True,ChIJNaL7s1nND4gRgjh3CyL8e2M
Han 202 Restaurant,Chinese restaurant,South Side,605 W 31st St,Chicago,60616,Illinois,41.837921,-87.641748,4.8,186,1,3,5,18,159,327,OPERATIONAL,$$,True,ChIJEeM05EAsDogRNfAVOvYxQz0
La Cantina Grill,Mexican restaurant,Prairie District,1911 S Michigan Ave,Chicago,60616,Illinois,41.8563107,-87.6236981,4.4,2341,95,73,191,505,1477,875,OPERATIONAL,$$,True,ChIJS0MMs4AsDogR0JGhIqqBxh0
The Chicago Firehouse Restaurant,Steak house,South Loop,1401 S Michigan Ave,Chicago,60605,Illinois,41.8639214,-87.6238957,4.5,1700,54,38,100,312,1196,1666,OPERATIONAL,$$$,True,ChIJQ8oynoQsDogR4Swh24sV4kQ
Go 4 Food,Chinese restaurant,Armour Square,212 W 23rd St,Chicago,60616,Illinois,41.8511146,-87.6326051,4.6,399,13,12,23,40,311,916,OPERATIONAL,$$,True,ChIJq8IzsFEtDogRi7jC8MdVK9o
Chicago Oyster House,Seafood restaurant,Prairie District,1933 S Indiana Ave,Chicago,60616,Illinois,41.855733,-87.621991,4.3,670,34,28,51,139,418,612,OPERATIONAL,$$,True,ChIJN8BHmYAsDogRCWywayTor3o
Chicago Waffles,Brunch restaurant,South Loop,1400 S Michigan Ave,Chicago,60605,Illinois,41.8637139,-87.6243056,4.2,1765,147,91,147,337,1043,1404,OPERATIONAL,$$,True,ChIJW5Huk4QsDogR077NPs7c5tM
Bryn Mawr Breakfast Club,Breakfast restaurant,Hollywood Park,3348 W Bryn Mawr Ave,Chicago,60659,Illinois,41.9831664,-87.7133481,4.6,2026,60,22,79,294,1571,1937,OPERATIONAL,$$,True,ChIJq6qqqg3OD4gRsiaMzFwwUUg
Great Chicago Food & Beverage Co,Kosher restaurant,West Ridge,3149 W Devon Ave,Chicago,60659,Illinois,41.9971932,-87.7088942,4.3,362,25,7,29,57,244,94,OPERATIONAL,$$,True,ChIJW79UDT3OD4gRVJIIOguoV_g
Summer House Santa Monica,New American restaurant,Lincoln Park,1954 N Halsted St,Chicago,60614,Illinois,41.9175694,-87.648662,4.4,3315,122,99,220,677,2197,2885,OPERATIONAL,$$$,True,ChIJxYDpLhjTD4gRXbOM_K_279E
BULSHO restaurant,East African restaurant,Near North Side,211 W Walton St,Chicago,60610,Illinois,41.8995257,-87.6349066,4.5,191,9,7,9,12,154,3,OPERATIONAL,$,True,ChIJg6qbw0vTD4gRGRWK-_hz9lU
Sea Ranch Sushi Evanston,Sushi restaurant,,518 Dempster St,Evanston,60202,Illinois,42.041028,-87.680026,4.5,437,19,12,9,73,324,228,OPERATIONAL,$,True,ChIJxf6eCxPQD4gRO1J8Ha2zuf8
Spears Bourbon Burgers Beer,American restaurant,,723 N Milwaukee Ave,Wheeling,60090,Illinois,42.1507977,-87.9126952,4.4,1725,61,49,124,454,1037,807,OPERATIONAL,$$,True,ChIJPfC2n7i-D4gR7R19jFBmB5I
Kol Tuv Kosher Foods,Grocery store,West Ridge,2938 W Devon Ave,Chicago,60659,Illinois,41.997675,-87.703637,4.8,349,6,2,8,32,301,45,OPERATIONAL,,True,ChIJxS5VOCLOD4gRl7zlJvdV4QU
