place_id,name,site,type,borough,street,city,zip,state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified
ChIJd2F8dEzXDIgRnzoCk9yTHvQ,Sam's Cafe,https://www.facebook.com/samscafechampaign/,Diner,Downtown Champaign,115 N Walnut St,Champaign,61820,Illinois,40.1169622,-88.24257,4.6,618.0,20.0,9.0,31.0,92.0,466.0,97,OPERATIONAL,$,False
ChIJRb3NmbrRDIgRQAOSOF6796E,Billy Barooz Pub & Grill,http://www.billybarooz.com/,Restaurant,,2521 Village Green Pl,Champaign,61822,Illinois,40.0813391,-88.2967127,4.5,1242.0,30.0,33.0,76.0,293.0,810.0,320,OPERATIONAL,$$,False
ChIJN0BiXvjZDIgRAIXu_nvvj-A,Red Robin Gourmet Burgers and Brews,https://locations.redrobin.com/il/champaign/725/,Restaurant,,2010 N Neil St,Champaign,61820,Illinois,40.1411239,-88.2462019,4.1,1211.0,85.0,67.0,116.0,298.0,645.0,568,OPERATIONAL,$$,True
ChIJXTSE-jLXDIgRXYUfHxxKqUY,Papa Del's Pizza Factory,https://www.papadels.com/,Pizza restaurant,,1201 S Neil St,Champaign,61820,Illinois,40.1033217,-88.2439252,4.1,2293.0,216.0,128.0,167.0,443.0,1339.0,926,OPERATIONAL,$$,True
ChIJL7cF-iTXDIgRjS0e6GimFnQ,Oozu Ramen,https://oozuramen.com/,Ramen restaurant,Campustown,601 S 6th St #102,Champaign,61820,Illinois,40.1112889,-88.2305908,4.3,637.0,29.0,20.0,55.0,132.0,401.0,733,OPERATIONAL,$$,True
ChIJ21TVxIzQDIgRVoKydCWL0pg,The Original Pancake House,http://ophchampaign.com/,Breakfast restaurant,,1909 W Springfield Ave,Champaign,61821,Illinois,40.1124848,-88.2785445,4.7,1920.0,33.0,19.0,68.0,306.0,1494.0,856,OPERATIONAL,$$,True
ChIJ3xANcz_XDIgRbwg1u3vipYg,Mid Summer Lounge,https://www.midsummerlounge.com/,Chinese noodle restaurant,Campustown,623 E Green St,Champaign,61820,Illinois,40.1101577,-88.2294649,4.4,315.0,12.0,14.0,22.0,69.0,198.0,470,OPERATIONAL,$$,True
ChIJGUeLnT_XDIgRSmjnYZceP44,Panda Express,https://www.pandaexpress.com/locations/il/champaign/2341,Restaurant,Campustown,627 S Wright St,Champaign,61820,Illinois,40.1105861,-88.2291543,4.0,545.0,32.0,18.0,96.0,176.0,223.0,102,OPERATIONAL,$,True
ChIJ76xzezXXDIgR--eH3HbHVPk,Golden Harbor Authentic Chinese Cuisine,http://www.goldenharboronline.com/?utm_source=google,Chinese restaurant,,505 S Neil St,Champaign,61820,Illinois,40.1111276,-88.2436554,4.5,1100.0,30.0,31.0,53.0,194.0,792.0,1447,OPERATIONAL,$$,True
ChIJ57QPOobRDIgRGiVRPWk6P-A,Aspen Tap House,https://aspentaphouse.com/,Restaurant,,2001 S Neil St,Champaign,61820,Illinois,40.0922591,-88.2461754,4.3,1525.0,52.0,73.0,134.0,407.0,859.0,578,OPERATIONAL,$$,True
ChIJtUnsFi3XDIgRF_mwSlMwPDA,Cactus Grill,,Tex-Mex restaurant,,1405 S Neil St,Champaign,61820,Illinois,40.0996069,-88.2447489,4.5,276.0,12.0,7.0,10.0,39.0,208.0,32,OPERATIONAL,$,True
ChIJ50rPTdXWDIgRLuoF5XKr-gk,Slim Chickens,https://slimchickens.com/location/champaign-il-2037-south-neil-street-61820/,Chicken restaurant,,2037 S Neil St,Champaign,61820,Illinois,40.090508,-88.2464,3.9,994.0,98.0,63.0,130.0,247.0,456.0,400,OPERATIONAL,$,True
ChIJnUty5A7aDIgRp5ch5ncYcVY,Chili's Grill & Bar,https://www.chilis.com/locations/us/illinois/champaign/champaign?utm_source=google,Restaurant,,1905 N Prospect Ave,Champaign,61822,Illinois,40.139042,-88.2586,4.1,1665.0,125.0,67.0,208.0,450.0,815.0,527,OPERATIONAL,$$,True
ChIJmSF6DlLXDIgRKl-llsXkGEg,Mo's Burritos Restaurant,,Mexican restaurant,,705 N Neil St,Champaign,61820,Illinois,40.122452,-88.2440267,4.8,219.0,3.0,4.0,4.0,22.0,186.0,77,OPERATIONAL,$,True
ChIJKSkUzvjZDIgRLJijFCXcl8w,Bob Evans,https://www.bobevans.com/locations/champaign?utm_source=google,Family restaurant,,1813 N Neil St,Champaign,61820,Illinois,40.1375758,-88.2444831,3.9,1268.0,130.0,80.0,166.0,311.0,581.0,572,OPERATIONAL,$$,True
ChIJZRKmK1fXDIgRiyYKYtNerlA,Big J J Fish & Chicken,https://www.bigjjfishandchickenchampaign.com/,American restaurant,,1114 N Market St,Champaign,61820,Illinois,40.1269433,-88.2386034,4.3,660.0,44.0,19.0,40.0,131.0,426.0,116,OPERATIONAL,$,True
ChIJx4iHkTjXDIgRcXG3Vp9LqxQ,Burrito King Mexican Grill,,Mexican restaurant,Campustown,408 E Green St,Champaign,61820,Illinois,40.1104143,-88.2327362,4.0,517.0,52.0,33.0,54.0,94.0,284.0,144,OPERATIONAL,$,True
ChIJVY3IYgbXDIgRxS4oQ6REc34,Raising Cane's Chicken Fingers,https://locations.raisingcanes.com/il/champaign/411-e-green-st,Fast food restaurant,Campustown,411 E Green St,Champaign,61820,Illinois,40.1100869,-88.2323081,4.3,206.0,11.0,10.0,19.0,42.0,124.0,73,OPERATIONAL,$,True
ChIJEcJXC1bXDIgRKHH2dKLIBLg,Yogi Korean Restaurant,,Korean restaurant,Campustown,608 E Green St,Champaign,61820,Illinois,40.1105791,-88.2300103,3.8,117.0,16.0,7.0,13.0,26.0,55.0,158,OPERATIONAL,$$,False
ChIJlzqRiDTXDIgRKB7rQIu9wyc,El Toro,http://www.eltororestaurante.com/,Mexican restaurant,,1005 S Neil St,Champaign,61820,Illinois,40.1042878,-88.2440345,4.1,563.0,51.0,20.0,62.0,140.0,290.0,189,OPERATIONAL,$$,False
ChIJISpPcavXDIgRNMPcPLFv_kw,Fernandos Food Truck,,Taco restaurant,Downtown Champaign,23 E Main St,Champaign,61820,Illinois,40.1180797,-88.2423074,4.6,67.0,6.0,0.0,1.0,2.0,58.0,14,OPERATIONAL,,False
ChIJL4_lNDbXDIgRLqBPGB1HM40,Maize Mexican Grill,http://www.maizemexicangrill.com/,Mexican restaurant,Campustown,60 E Green St,Champaign,61820,Illinois,40.1103895,-88.2389392,4.5,1209.0,55.0,28.0,68.0,191.0,867.0,205,OPERATIONAL,$,True
ChIJKUWAseTXDIgRuziJJr0CpAU,GOLDEN WHEAT(LAO BIAO 老表),https://pos.chowbus.com/online-ordering/store/11966,Chinese restaurant,Campustown,611 E Green St suite a,Champaign,61820,Illinois,40.1100759,-88.2298011,4.2,122.0,15.0,7.0,2.0,16.0,82.0,146,OPERATIONAL,$$,True
ChIJCcVlARPXDIgRM0FTjV_gWvw,Cao's Hot Pot,,Chinese restaurant,Campustown,608 S 6th St,Champaign,61820,Illinois,40.1108174,-88.2301846,4.4,83.0,8.0,3.0,1.0,4.0,67.0,289,OPERATIONAL,$$,True
ChIJn4CGKRbXDIgRIUest8WoVJ4,sushi man,https://www.sushimanchampaign.com/,Sushi takeaway,Campustown,308 E Green St,Champaign,61820,Illinois,40.1105109,-88.2342474,4.1,69.0,6.0,4.0,6.0,12.0,41.0,432,OPERATIONAL,,True
ChIJK2tBtjjXDIgRdb5P5XLSZ0Y,Potbelly,https://potbelly.com/locations/illinois/champaign,Sandwich shop,Campustown,501 E Green St,Champaign,61820,Illinois,40.1100814,-88.2318703,3.9,395.0,51.0,21.0,35.0,92.0,196.0,251,OPERATIONAL,$,True
ChIJ8ctt6EzXDIgRxIKhPClhecA,Sushi Kame,http://sushi-kame.com/,Japanese restaurant,Campustown,39 E Green St,Champaign,61820,Illinois,40.1097842,-88.2408891,4.3,307.0,17.0,7.0,15.0,83.0,185.0,271,OPERATIONAL,$$,False
ChIJ9RI-mEbXDIgRlPMKybhLG8s,Golden Wok,http://www.champaigngoldenwok.com/?utm_source=gmb,Thai restaurant,,405 E University Ave,Champaign,61820,Illinois,40.1160222,-88.2328366,4.3,264.0,13.0,9.0,26.0,64.0,152.0,138,OPERATIONAL,$,True
ChIJ2wrFLD_XDIgRO4NJ-R8ff3I,Fat Sandwich Company,https://fatsandwichchampaignil.com/,Sandwich shop,Campustown,502 E John St,Champaign,61820,Illinois,40.1091814,-88.2315103,4.2,282.0,28.0,10.0,19.0,43.0,182.0,182,OPERATIONAL,$,True
ChIJd58ZbkzXDIgR5k5W44BYcds,Cowboy Monkey,http://www.cowboy-monkey.com/,Restaurant,Downtown Champaign,6 Taylor St,Champaign,61820,Illinois,40.1174694,-88.2431556,4.2,329.0,22.0,8.0,35.0,90.0,174.0,171,OPERATIONAL,$$,True
ChIJdymahc7XDIgRRl8su4jgMmM,Shiquan Wonton,https://shiquaniltogo.com/,Chinese restaurant,Campustown,210 E Green St Ste 102,Champaign,61820,Illinois,40.1103584,-88.236057,4.0,64.0,12.0,0.0,2.0,10.0,40.0,250,OPERATIONAL,$$,True
ChIJLZylq8LXDIgR-jgWxNxzFFE,C-U La La Noodle,,Restaurant,Campustown,410 E Green St #13,Champaign,61820,Illinois,40.1104359,-88.2322605,3.9,97.0,18.0,3.0,1.0,19.0,56.0,271,OPERATIONAL,$$,True
ChIJQ0USHRXXDIgRput9KxerlY0,Dee-Dee's Beef,https://www.deedeesbeef.com/,Restaurant,Campustown,619 E Green St,Champaign,61820,Illinois,40.1100841,-88.2296051,5.0,34.0,0.0,0.0,0.0,0.0,34.0,15,OPERATIONAL,,True
ChIJq73JP9bRDIgRKZcCz8QFDJk,Captain D's,https://locations.captainds.com/ll/US/IL/Champaign/1409--N_-Prospect-Ave,Seafood restaurant,,1409 N Prospect Ave,Champaign,61820,Illinois,40.1303362,-88.2584966,4.3,456.0,25.0,11.0,36.0,108.0,276.0,198,OPERATIONAL,$,True
ChIJT3wO_8DXDIgRUwodTDjyKXc,Sooie Bros. Bar-B-Que Joint,,Restaurant,,103 W Kirby Ave,Champaign,61820,Illinois,40.0977343,-88.245719,4.0,63.0,10.0,2.0,5.0,5.0,41.0,49,OPERATIONAL,,True
