station_name,latitude,longitude
Beacon St at St. Paul St,42.343730949987155,-71.11614107161584
Newbury St at Hereford St,42.348717,-71.085954
Commonwealth Ave at Kelton St,42.34835862817045,-71.13997217276847
Washington St at Lenox St,42.3350989929096,-71.07903778553009
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
Boylston St at Exeter St,42.34958942368245,-71.07946779173291
Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639
Albany St at E. Brookline St,42.33664795427071,-71.0689445958451
Boylston St at Jersey St,42.34465062887831,-71.09732501226972
Sydney St at Carson St,42.32039374304257,-71.05355408051764
Mass Ave at Albany St,42.36135837662249,-71.09670273977825
Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171
Ames St at Main St,42.3625,-71.08821999999998
Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338
Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313
Somerville City Hall Annex,42.39189811591863,-71.09745375830244
Danehy Park,42.388966,-71.132788
Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761
Charlestown Navy Yard,42.37412454942653,-71.05481199938367
Washington St at Brock St,42.348952846695106,-71.16031676530837
Troy Boston,42.343749,-71.062256
Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094705
Jackson Square T Stop,42.32293117195949,-71.10014140605927
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927
Warren St at Chelsea St,42.371848,-71.060292
Central Square at Mass Ave / Essex St,42.36507,-71.1031
Cleveland Circle,42.335543083570826,-71.15061519672051
Washington St at Peters Park,42.34303291130257,-71.06688730436872
Fields Corner T Stop,42.30066400000001,-71.060295
Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303
E Cottage St at Columbia Rd,42.320561,-71.06198
699 Mt Auburn St,42.37500235137831,-71.14871613699506
Government Center - Cambridge St at Court St,42.3598253979878,-71.05979576244863
Faneuil St at Arlington St,42.352766205456064,-71.15988485533308
One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192
Farragut Rd at E. 6th St,42.3334,-71.02495
191 Beacon St,42.380323350454155,-71.10878612855231
Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
Boylston St at Fairfield St,42.348762,-71.082383
84 Cambridgepark Dr,42.3936,-71.143941
Rindge Avenue - O'Neill Library,42.392766,-71.129042
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376
Ring Rd,42.34827838542626,-71.08044855314802
One Brigham Circle,42.333922701369964,-71.10446508982932
Egleston Square - Atherton St at Washington St,42.315692,-71.09863399999998
East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613
Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857
Somerville City Hall,42.386844,-71.09812
Tappan St at Brookline Hills MBTA,42.332096063019364,-71.12845882773401
NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946
Watertown Sq,42.36526031769449,-71.18573324459247
Brookline Village - Station Street at MBTA,42.33274392304887,-71.11626680949485
Beacon St at Tappan St,42.33826680058037,-71.13894682028331
Archdale Rd at Washington St,42.29266592872725,-71.12119538714069
Brookline Town Hall,42.33376472623494,-71.12046446660315
Broadway at Central St,42.39517150121575,-71.09850591982195
MIT Vassar St,42.35560121327927,-71.10394477844237
Forest Hills,42.300923,-71.114249
Sullivan Square,42.384452256358436,-71.07514854529654
Ames St at Broadway,42.3636929,-71.0875672
Green Street T Stop - Green St at Amory St,42.310579,-71.107341
Honan Library,42.36027370454934,-71.12852452327388
Craigie at Summer St,42.388305537644,-71.11067976811681
Nashua Street at Red Auerbach Way,42.365673,-71.064263
Main St at Austin St,42.37560300000001,-71.06460799999998
Washington St at Egremont Rd,42.3428683507196,-71.14127840855872
Boylston St at Dartmouth St,42.35010609546997,-71.07720464005979
Hayes Square - Vine St at Moulton St,42.377022,-71.056605
Edwards Playground - Main St at Eden St,42.378965,-71.068607
MLK Blvd at Washington St,42.32143814183195,-71.09126061201096
Lansdowne T Stop,42.34734473177432,-71.10016807950159
Ink Block - Harrison Ave at Herald St,42.345901,-71.063187
