name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
matrimoni red room on Canals center,NAVIGLI,Private room,1.0,2.5,2,1,40.0,365,135,90.0,45.44657,9.16734,1
Stay at 100m from FieraMilanoCity,DE ANGELI - MONTE ROSA,Entire home/apt,1.0,1.0,5,2,60.0,0,32,99.0,45.48148,9.14697,1
300 yr. old Loft Central Milan,TICINESE,Entire home/apt,1.0,1.0,4,1,75.0,0,344,95.0,45.44928,9.17868,0
Bedroom+bathroom_Milan City Centre,VIGENTINA,Private room,1.0,1.0,1,1,70.0,365,90,95.0,45.45682,9.19396,0
A cozy loft in Milan fully equipped,BOVISASCA,Private room,1.0,1.0,1,2,35.0,180,113,94.0,45.51623,9.156889999999999,0
Bright Openspace in city centre,WASHINGTON,Entire home/apt,1.0,1.0,4,2,145.0,233,35,98.0,45.46267,9.159289999999999,0
Navigli Loft Room with Private Bathroom,TIBALDI,Private room,1.0,1.0,2,7,30.0,0,216,99.0,45.43886,9.18005,1
"Porta Romana, it's so Milan",PORTA ROMANA,Entire home/apt,1.0,1.0,2,2,95.0,294,98,99.0,45.45126,9.20779,0
Comfortable and quiet apartment,BUENOS AIRES - VENEZIA,Entire home/apt,1.0,1.0,2,3,75.0,90,12,92.0,45.47351,9.21983,0
Double bedroom in a 3 level apt,ISOLA,Private room,1.0,1.0,2,1,49.0,182,32,94.0,45.494659999999996,9.18665,0
Big room/bathroom in 70's style,LORENTEGGIO,Private room,1.0,1.5,2,2,60.0,356,113,94.0,45.45564,9.1219,0
pretty apt-navigli-expo,NAVIGLI,Entire home/apt,1.0,1.0,3,30,70.0,364,53,96.0,45.44822,9.159289999999999,0
Cozy & quite apartment in Navigli district Magolfa,NAVIGLI,Entire home/apt,1.0,1.0,4,4,80.0,8,96,94.0,45.4493,9.17522,0
"Really bright flat, downtown Milan",XXII MARZO,Entire home/apt,1.0,1.0,4,2,74.0,170,152,98.0,45.46427,9.2104,1
Extraordinary flat + private garden,CITTA' STUDI,Entire home/apt,2.0,1.0,6,7,250.0,365,10,100.0,45.4834,9.23291,0
central apartment with retro style.,ISOLA,Entire home/apt,1.0,1.0,2,1,99.0,365,48,99.0,45.48983,9.18704,0
Luxury B&B Antica Brera,BRERA,Entire home/apt,2.0,2.0,4,1,270.0,365,68,96.0,45.4724,9.18603,0
Nice double room in Milan Downtown,BUENOS AIRES - VENEZIA,Private room,1.0,1.0,1,2,45.0,2,117,94.0,45.475229999999996,9.206439999999999,1
"Charming Nest, Central, Fiber-Optic",TICINESE,Entire home/apt,3.0,2.0,6,6,277.0,362,139,98.0,45.45734,9.17871,1
MILAN AREA VICTORY ROOM FOR RENT,UMBRIA - MOLISE,Private room,1.0,1.0,2,1,40.0,364,98,93.0,45.4523,9.215110000000001,1
B&B in Comfort Room!,GRATOSOGLIO - TICINELLO,Private room,1.0,2.0,2,28,27.0,142,220,92.0,45.40726,9.17282,0
Charming boutique apartment @ Duomo,DUOMO,Entire home/apt,1.0,1.0,4,1,250.0,365,126,98.0,45.46171,9.18815,0
Stanza Blu in Milan - Navigli Area,TICINESE,Private room,1.0,1.0,3,1,29.0,365,276,89.0,45.44314,9.179910000000001,0
44suite - Joy - central train station,CENTRALE,Entire home/apt,1.0,1.0,3,1,68.0,8,259,95.0,45.48437,9.20399,1
APARTMENT PIAZZA DUOMO MILANO,DUOMO,Entire home/apt,1.0,1.0,6,1,100.0,328,378,94.0,45.46241,9.186639999999999,0
Corso Venezia Senato Quiet penthouse,GUASTALLA,Entire home/apt,1.0,1.0,4,2,79.0,358,77,93.0,45.468720000000005,9.19938,0
Cute attic for romantic people,BUENOS AIRES - VENEZIA,Entire home/apt,1.0,1.0,2,4,59.0,111,173,91.0,45.483470000000004,9.215069999999999,0
AtticCozy-With Rooftop Terrace,BUENOS AIRES - VENEZIA,Entire home/apt,1.0,2.5,4,1,42.0,347,23,96.0,45.480709999999995,9.21308,0
Deliziosa abitazione per soggiorni,BOVISASCA,Private room,1.0,1.0,2,1,45.0,0,29,86.0,45.51462,9.16111,0
Beautiful Very Clean and cozy comfortable bedroom!,GARIBALDI REPUBBLICA,Private room,1.0,1.0,1,1,38.0,294,344,87.0,45.4825,9.183860000000001,0
Vintage House in Milan Downtown with 5 bedrooms,BUENOS AIRES - VENEZIA,Entire home/apt,5.0,3.0,8,2,364.0,157,31,97.0,45.47526,9.20625,1
Your next cozy retreat in Milano!,WASHINGTON,Entire home/apt,1.0,1.0,2,60,70.0,362,12,93.0,45.459759999999996,9.1515,1
Good starting point to discover Mi,XXII MARZO,Private room,1.0,1.0,1,1,39.0,340,207,98.0,45.45879,9.214260000000001,0
Single Sofabed 8' from Central St.,MACIACHINI - MAGGIOLINA,Shared room,1.0,1.0,1,1,20.0,73,60,89.0,45.49758,9.193710000000001,0
"Navigli LOFT, with private garden",TICINESE,Entire home/apt,2.0,2.0,5,2,100.0,363,50,98.0,45.44291,9.17741,0
