name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"PIC UP SRVC PROVIDED, 1 MINU TO GROCERY STORE",Taito Ku,Entire home/apt,1.0,1.0,4,5,9000.0,145,125,94.0,35.7223,139.80049,0
Beautiful and peaceful residence,Shinjuku Ku,Private room,1.0,1.0,2,50,5000.0,350,100,88.0,35.721470000000004,139.69075,0
アジアンミックステイストの癒される空間,Meguro Ku,Entire home/apt,1.0,1.0,2,2,6800.0,350,134,91.0,35.61668,139.66756999999998,0
Perfect room for student,Shinjuku Ku,Private room,1.0,1.0,1,50,4500.0,364,64,93.0,35.72258,139.69075,0
Bang For Your Buck!,Shinjuku Ku,Private room,1.0,1.5,3,6,5000.0,0,158,94.0,35.69639,139.70006,0
Seidokan ．experience the rich history of Japan!,Arakawa Ku,Entire home/apt,1.0,1.0,2,1,2500.0,94,234,98.0,35.72672,139.78201,1
"Feel ""Belong Anywhere"" in Tokyo. 30min to Shinjuku",Machida Shi,Entire home/apt,1.0,1.0,2,3,4000.0,232,97,97.0,35.58911,139.48023,1
Modern Japanese house w/ garden,Toshima Ku,Entire home/apt,3.0,1.0,6,2,7800.0,141,161,97.0,35.72873,139.7336,0
"Shibuya, near Harajuku 2BR (MDS2BR)",Shibuya Ku,Entire home/apt,2.0,1.0,7,6,29857.0,121,13,92.0,35.67205,139.67877,1
Like a Tokyo Local in Equipped 34㎡,Setagaya Ku,Entire home/apt,2.0,1.0,3,2,8000.0,157,33,99.0,35.61869,139.66025,1
(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,Kita Ku,Entire home/apt,1.0,1.0,5,3,5093.0,199,210,86.0,35.76105,139.716,0
SHIBUYA12min/Fancy&Warm house,Setagaya Ku,Private room,1.0,1.0,2,1,31903.0,0,83,100.0,35.630590000000005,139.63201999999998,1
PRIVATE ROOM  JUST ME ONLY  II 10F with Balcony,Shinjuku Ku,Private room,1.0,1.0,1,2,6266.0,266,209,98.0,35.69847,139.70432,1
PRIVATE ROOM FAMILY OR FRIENDS 10F II,Shinjuku Ku,Private room,1.0,1.0,4,2,6266.0,259,71,97.0,35.698479999999996,139.70432,1
apartment hotel TASU TOCO,Suginami Ku,Entire home/apt,1.0,1.0,3,2,7750.0,287,157,95.0,35.7034,139.59892,0
SHINJUKU ★Designer Pencil House★ Sanitized,Shibuya Ku,Entire home/apt,3.0,1.5,8,1,11253.0,268,171,97.0,35.68245,139.69009,1
COZY LOFT BEDROOM　#106,Suginami Ku,Entire home/apt,1.0,1.0,2,3,8500.0,0,96,97.0,35.70559,139.65652,1
COZY LOFT BEDROOM #1,Suginami Ku,Entire home/apt,1.0,1.0,2,14,5500.0,0,123,98.0,35.70505,139.65675,1
Nishi-Ogikubo 1BR Twin Type-A (SSH1BRT-A) 2F,Suginami Ku,Entire home/apt,1.0,1.0,4,3,12143.0,122,36,97.0,35.703990000000005,139.59775,1
"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",Shibuya Ku,Entire home/apt,3.0,1.5,8,3,28834.0,195,130,92.0,35.64974,139.72214,0
"Residential area, Peaceful Traditional House 2",Higashimurayama Shi,Entire home/apt,2.0,1.0,9,3,5317.0,305,132,98.0,35.765390000000004,139.44681,1
【Itokiyoshi】Ningyo-cho 1min walk,Chuo Ku,Entire home/apt,1.0,1.5,5,1,4000.0,281,112,96.0,35.68577,139.78368,1
Near Shinagawa Shibuya Haneda,Shinagawa Ku,Private room,1.0,2.0,2,4,4800.0,0,127,88.0,35.6005,139.73452,0
「LICENSED」Enjoy Central Tokyo Yamanote Life,Shinagawa Ku,Entire home/apt,2.0,1.5,5,2,19857.0,183,196,97.0,35.626329999999996,139.7235,1
Airport transfer service&Asakusa traditional house,Taito Ku,Entire home/apt,2.0,1.0,8,1,40000.0,294,479,99.0,35.71648,139.79926,1
#211 Private Cozy Apt. in Tokyo,Nerima Ku,Entire home/apt,1.0,1.0,2,3,4466.0,90,72,94.0,35.73639,139.63324,1
(2) 5ppl 11mins Shinjuku 17 Shibuya. -JR Jujo Sta,Kita Ku,Entire home/apt,1.0,1.0,5,3,4254.0,216,182,91.0,35.760940000000005,139.71652,0
Sunny room in residential area in 国分寺 1st Floor,Kokubunji Shi,Private room,1.0,1.5,2,2,2786.0,330,51,97.0,35.70915,139.48057,1
2 BR walking distance to AZABU / ROPPONGI area!,Minato Ku,Entire home/apt,2.0,1.5,2,30,9586.0,0,51,90.0,35.64828,139.73731,1
Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F,Suginami Ku,Entire home/apt,1.0,1.0,5,3,12643.0,122,27,95.0,35.703990000000005,139.59775,1
Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,Suginami Ku,Entire home/apt,1.0,1.0,4,3,14000.0,0,22,91.0,35.703990000000005,139.59775,1
"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(1)",Higashimurayama Shi,Private room,1.0,1.5,2,4,3700.0,362,13,100.0,35.75653,139.47912,1
Chic 2BR Zen House (5 min to Ueno/10 to Akihabara),Kita Ku,Entire home/apt,2.0,1.0,5,7,8000.0,297,96,99.0,35.74576,139.75238000000002,1
(6) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,Kita Ku,Entire home/apt,1.0,1.0,5,3,3190.0,65,198,90.0,35.761109999999995,139.71576000000002,0
"3persons Hino room #2, Shinjuku28min Shibuya38min",Hino Shi,Entire home/apt,1.0,1.0,3,5,4500.0,364,35,91.0,35.68484,139.39386000000002,0
Reversible Destiny Lofts/for2people,Mitaka Shi,Private room,1.0,1.0,2,3,20000.0,162,23,100.0,35.68145,139.53738,0
Furnished Private Apt.213,Nakano Ku,Entire home/apt,1.0,1.0,2,3,4466.0,90,73,96.0,35.73379,139.63183,1
