name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Private room in house,Roslindale,Private room,1.0,1.5,2,30,90.0,318,59,97.0,42.2909,-71.13024,1
Convenient Boston Hotel Alternative,Roslindale,Entire home/apt,1.0,1.0,3,4,95.0,0,96,98.0,42.29054,-71.13953000000001,1
"Boston Center, Sleeps 1 to 4 people",Downtown,Entire home/apt,1.0,1.0,4,91,257.0,365,60,95.0,42.35929,-71.06085999999999,1
✔Arlington✔Skydeck ✔Walk Score 95✔Full Kitchen,South End,Private room,1.0,1.0,2,29,119.0,0,293,99.0,42.34232,-71.07595,1
"Cozy apartment, free parking, quiet neighborhood",Jamaica Plain,Entire home/apt,1.0,1.0,2,29,107.0,23,21,92.0,42.291059999999995,-71.11594000000001,0
HANCOCK TOWER/COPLEY ROOM,South End,Private room,1.0,1.0,1,29,134.0,90,257,90.0,42.34644,-71.07481,0
"Easy access to Airport, Downtown, Seaport. Fenway",East Boston,Entire home/apt,1.0,1.0,3,2,174.0,325,87,94.0,42.38362,-71.02023,0
Cozy JP Studio-Great Location!,Jamaica Plain,Entire home/apt,1.0,1.0,2,2,94.0,0,327,96.0,42.317479999999996,-71.10819000000001,1
ExclusiveBackBayBostonCtr-Pvt Bath&Rm-Comfy Bed,Back Bay,Private room,1.0,1.0,1,29,105.0,354,117,93.0,42.34373,-71.08224,0
Duplex Penthouse in Longwood Area,Mission Hill,Entire home/apt,1.0,2.0,2,91,85.0,204,32,93.0,42.33285,-71.10115,1
4 bedroom Victorian Condo unit,Jamaica Plain,Entire home/apt,4.0,2.0,8,2,448.0,348,76,95.0,42.32051,-71.11216,0
Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费。。,West Roxbury,Private room,4.0,2.5,6,29,70.0,234,209,91.0,42.27176,-71.16759,0
Entire loft in Boston,Jamaica Plain,Entire home/apt,2.0,1.0,4,91,136.0,358,28,96.0,42.30693,-71.10789,0
Beacon Hill 1-Bed,West End,Entire home/apt,1.0,1.0,2,91,207.0,0,65,98.0,42.36176,-71.06745,0
Historic Beacon Hill,Beacon Hill,Entire home/apt,1.0,1.0,2,91,425.0,358,23,89.0,42.3588,-71.06971999999999,0
Modern 2 BR in Brighton with Parking,Brighton,Entire home/apt,2.0,1.0,4,3,98.0,41,273,94.0,42.346000000000004,-71.1399,1
1BR in Charming South Boston Condo/Red Line/Beach,South Boston,Private room,1.0,1.0,1,91,66.0,8,31,96.0,42.32825,-71.05704,0
"Authentic Boston, cozy room",Roxbury,Private room,1.0,1.0,1,28,65.0,115,41,96.0,42.32546,-71.08894000000001,1
"Real Boston, off the beaten track",Roxbury,Private room,1.0,1.0,1,28,67.0,0,38,97.0,42.32546,-71.08894000000001,1
Big Boston room,Roxbury,Private room,1.0,1.0,1,28,70.0,80,19,100.0,42.32546,-71.08894000000001,1
Historic brick Victorian row house,South End,Private room,3.0,3.0,6,91,350.0,89,25,94.0,42.33937,-71.08026,0
Bright Sunlit bedroom near Spaulding/Downtown,Charlestown,Private room,1.0,1.0,1,29,45.0,252,106,95.0,42.38017,-71.06236,0
Inviting Queen Anne Victorian,Dorchester,Private room,1.0,2.5,2,29,80.0,365,311,98.0,42.308440000000004,-71.0464,0
Room with Sleeper Sofa Bed,Dorchester,Private room,1.0,2.5,1,29,60.0,365,45,98.0,42.310190000000006,-71.04829000000001,0
Charming Historic Home in Charlestown,Charlestown,Entire home/apt,2.0,2.0,4,3,350.0,217,14,99.0,42.37203,-71.06165,1
"Large 1 Bed, Kitchen & Bath w/ Off Street Parking",Brighton,Entire home/apt,1.0,1.0,4,1,100.0,108,129,92.0,42.3484,-71.15696,1
3-story Luxury in Central Location,Bay Village,Entire home/apt,3.0,3.0,7,29,199.0,46,139,100.0,42.34988,-71.06918,1
"Fort Hill Top - 2Bk Private room,  brick townhouse",Roxbury,Private room,1.0,2.0,1,30,49.0,174,20,96.0,42.3256,-71.09413,1
Large Private bedroom by Seaport,South Boston Waterfront,Private room,1.0,1.0,2,1,96.0,90,260,96.0,42.34017,-71.04763,1
Room in Rozzie-Twin Bed-Full Bath,Roslindale,Private room,1.0,1.0,1,29,58.0,356,37,96.0,42.281940000000006,-71.13337,0
Urban oasis trendy JP 'hood - suite,Jamaica Plain,Entire home/apt,2.0,1.0,4,29,145.0,325,213,98.0,42.31338,-71.11719000000001,1
Charming sunlit house in Boston,Roslindale,Entire home/apt,2.0,1.5,5,29,150.0,364,44,92.0,42.28291,-71.13268000000001,0
king sized bed/ Private room in a spacious condo,Dorchester,Private room,1.0,1.0,2,1,45.0,337,127,97.0,42.290409999999994,-71.05853,1
Room for 2 in Rozzie - Full Bath,Roslindale,Private room,1.0,1.0,2,29,69.0,325,38,96.0,42.282090000000004,-71.13335,0
3Bed/2.5Bath Luxury Triplex South End's Union Park,South End,Entire home/apt,3.0,2.5,8,4,890.0,360,42,99.0,42.34279,-71.0711,0
Back Bay Elegance in Brighton,Brighton,Private room,1.0,1.5,2,29,99.0,263,302,95.0,42.355090000000004,-71.16242,1
Queen Size Four Poster Bed,Dorchester,Private room,1.0,2.5,2,29,100.0,365,211,99.0,42.30958,-71.04791999999999,0
Private Apartment- Minutes from T!,Jamaica Plain,Entire home/apt,1.0,1.0,4,1,117.0,310,538,96.0,42.300259999999994,-71.11180999999999,1
"Beautiful 3 bd- 1.5 bath with parking, in Boston.",Jamaica Plain,Entire home/apt,3.0,1.5,6,91,599.0,0,105,88.0,42.30829,-71.12399,0
"Sea view,balcony,15min by metro to center,safe st",Dorchester,Private room,1.0,2.5,2,29,70.0,315,143,93.0,42.315020000000004,-71.06115,0
One Private Bedroom in J.P.,Jamaica Plain,Private room,1.0,1.0,2,91,120.0,365,38,92.0,42.307109999999994,-71.10582,0
1 bedroom and private bathroom,Brighton,Private room,1.0,1.0,2,3,67.0,108,224,93.0,42.34126,-71.15717,0
Spacious Updated Boston Room/Condo,South Boston,Private room,1.0,1.0,3,1,220.0,365,85,94.0,42.33323,-71.04933,0
Historic Boston North End Condo,North End,Entire home/apt,1.0,1.0,4,91,195.0,274,169,98.0,42.364290000000004,-71.05452,1
I bdrm in Boston/Allston/Brookline,Allston,Entire home/apt,1.0,1.0,3,30,125.0,173,48,97.0,42.35159,-71.13346999999999,1
The Upton Boston - The Clare Suite,South End,Entire home/apt,1.0,1.0,2,3,140.0,174,31,98.0,42.34303,-71.07305,1
