name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
5 Kingfisher: Studio apartment with a view,Ward 61,Entire home/apt,1.0,1.0,3,1,590.0,291,24,100.0,-34.13877,18.333170000000003,1
Near Everywhere You Want To Be. Wifi. Parking. Gym,Ward 115,Entire home/apt,1.0,1.0,4,3,846.0,358,10,76.0,-33.9289,18.42146,0
"The Inn at Castle Hill, Kalk Bay Superior Room (2)",Ward 64,Private room,1.0,1.0,2,1,1390.0,54,40,99.0,-34.12583,18.44986,1
De Waterkant Apt. Spacious Balcony & Mountain View,Ward 115,Entire home/apt,2.0,2.0,6,3,1152.0,334,17,79.0,-33.91815,18.42085,0
Spacious 1 Bedroom Cottage with off-street parking,Ward 115,Entire home/apt,1.0,1.0,2,2,1423.0,83,14,100.0,-33.90922,18.40332,0
Bree Street Loft - City Centre,Ward 115,Entire home/apt,2.0,2.0,6,2,1018.0,363,124,92.0,-33.92292,18.418,0
Lovely Guesthouse with Old-Fashioned Service and Ocean View,Ward 64,Private room,1.0,1.0,2,1,950.0,362,56,96.0,-34.12555,18.44886,1
Private Guest House in Quiet street,Ward 115,Private room,3.0,3.0,6,2,4450.0,363,23,81.0,-33.91147,18.4145,0
COLONIAL STYLE SEA POINT APARTMENT,Ward 54,Entire home/apt,2.0,2.0,4,5,1500.0,364,130,99.0,-33.91467,18.38925,1
"Stylish Apartment with Large, Covered Balcony",Ward 115,Entire home/apt,1.0,1.0,2,5,1300.0,210,36,98.0,-33.91602,18.41923,1
"City Slicker Double Volume Loft, Awesome Table Mountain View",Ward 115,Entire home/apt,1.0,1.0,2,3,971.0,356,205,98.0,-33.91789,18.41844,1
Self catering 3 bedrooms 3 bathrooms,Ward 4,Entire home/apt,3.0,3.5,8,1,1969.0,244,21,90.0,-33.85342,18.49401,0
"Llandudno Beach Apartment, private and secure.",Ward 74,Entire home/apt,2.0,1.5,4,2,4500.0,330,29,99.0,-34.00874,18.34198,0
Bo Kaap Garden Flat (Cape Town),Ward 77,Entire home/apt,1.0,1.0,2,1,1755.0,364,47,89.0,-33.9184,18.41611,1
Stunning Beachfront Penthouse. Spectacular Views!,Ward 115,Entire home/apt,2.0,2.0,4,3,2714.0,352,17,89.0,-33.90081,18.40596,0
Bay Leaf Cottage,Ward 57,Entire home/apt,2.0,1.0,4,2,834.0,365,45,98.0,-33.93607,18.466620000000002,1
Maxwell's. Whole House,Ward 62,Entire home/apt,4.0,4.0,8,4,3171.0,364,21,98.0,-33.985409999999995,18.44022,0
"Sunny, spacious & centrally located",Ward 57,Entire home/apt,2.0,1.0,5,3,500.0,22,141,97.0,-33.937459999999994,18.46708,0
Private Garden Cottage,Ward 57,Entire home/apt,1.0,1.0,2,2,630.0,365,174,97.0,-33.93562,18.443270000000002,1
Cape Cottage-A Home Away From Home,Ward 64,Entire home/apt,3.0,2.0,6,2,1000.0,330,78,97.0,-34.08444,18.477439999999998,1
African Beach Studio 1 - Ocean Facing,Ward 115,Entire home/apt,1.0,1.0,2,3,1500.0,232,19,99.0,-33.90204,18.39954,1
Zebra Place Self Catering Rosendal Bellville. CT,Ward 21,Entire home/apt,2.0,1.0,3,2,600.0,362,32,98.0,-33.86673,18.64441,1
Guinea Fowl Self Catering  Bellville. Rosendal. CT,Ward 21,Entire home/apt,2.0,1.0,3,2,450.0,329,39,96.0,-33.8668,18.64443,1
Enjoy a Private Room in Chartfield Guesthouse,Ward 64,Private room,1.0,1.0,2,1,950.0,362,40,97.0,-34.12637,18.44963,1
Rondebosch Loft Cape Town,Ward 59,Entire home/apt,2.0,2.0,4,3,1000.0,0,46,96.0,-33.961459999999995,18.4702,0
Instaworthy Views. Free Parking. Walk Everywhere,Ward 115,Entire home/apt,1.0,1.0,2,3,1050.0,250,13,80.0,-33.9242,18.42451,0
"Location & personality! 413 Cascades, Green Point.",Ward 115,Entire home/apt,1.0,1.0,2,2,879.0,178,31,98.0,-33.9096,18.41316,0
Grand Cape Town Amazing Space Loft,Ward 115,Entire home/apt,3.0,3.5,6,6,3867.0,357,89,98.0,-33.9263,18.41225,1
Woodbridge Island Townhouse in private estate.,Ward 55,Entire home/apt,2.0,2.0,4,7,1400.0,365,15,94.0,-33.88632,18.48759,0
House Cherry on beach Breathtaking Suite1  Sleep2,Ward 74,Entire home/apt,1.0,1.0,2,3,1025.0,326,120,98.0,-34.0459,18.36319,1
Stylish and bright Sea Point 1-Bed apartment,Ward 54,Entire home/apt,1.0,1.0,2,5,529.0,70,10,96.0,-33.91449,18.39401,0
African Sun,Ward 77,Entire home/apt,1.0,1.0,2,2,441.0,345,234,98.0,-33.939859999999996,18.42288,1
Klipview Beach Cottage -Scarborough,Ward 61,Entire home/apt,2.0,1.0,4,3,1536.0,356,11,92.0,-34.19873,18.375999999999998,0
Elegant Beachfront Home. Balcony & Parking,Ward 23,Entire home/apt,2.0,2.0,4,3,1443.0,356,11,84.0,-33.81565,18.47259,0
Wessels House Studio,Ward 115,Entire home/apt,1.0,1.0,2,2,609.0,351,24,98.0,-33.911359999999995,18.41357,1
Wessels House-Home from home private Garden & pool,Ward 115,Entire home/apt,4.0,4.0,8,4,4000.0,298,143,98.0,-33.911359999999995,18.41357,1
Cape Town Holiday House,Ward 69,Entire home/apt,3.0,2.0,5,4,1000.0,0,10,91.0,-34.13666,18.36235,0
Stay at the foot of Table Mountain!,Ward 77,Entire home/apt,2.0,1.0,3,2,1583.0,344,29,97.0,-33.94423,18.41244,1
Architectural Home Magnificent View,Ward 77,Entire home/apt,4.0,3.5,7,10,4677.0,329,16,95.0,-33.92839,18.403570000000002,0
Glen Beach Villa Three with Seventy Meters to the Beach,Ward 54,Entire home/apt,4.0,4.0,8,1,6000.0,200,51,98.0,-33.9469,18.37914,1
Glen Beach Penthouse On the beach in camps bay,Ward 54,Entire home/apt,2.0,2.0,4,1,4500.0,287,68,98.0,-33.947070000000004,18.37825,1
"Bright, Colorful Green Point Apartment, Exclusive Poolside Views of the Ocean.",Ward 115,Entire home/apt,1.0,1.0,2,3,850.0,292,63,99.0,-33.91125,18.40129,1
"19 LOADER STR, De Waterkant",Ward 77,Entire home/apt,4.0,4.0,7,4,1251.0,334,20,96.0,-33.9146,18.41388,1
123 Ocean View Dr Apartment,Ward 115,Entire home/apt,1.0,1.0,2,3,1016.0,1,32,96.0,-33.911120000000004,18.40273,1
The Perfect Holiday Home in Cape Town,Ward 74,Entire home/apt,3.0,2.0,6,4,2500.0,356,13,100.0,-34.041290000000004,18.361639999999998,0
Cosy Cape Town Beach Cottage In Security Estate,Ward 55,Entire home/apt,2.0,1.0,4,5,1245.0,360,22,98.0,-33.8846,18.485879999999998,0
Pineapple Cottage - Kalk Bay,Ward 64,Entire home/apt,2.0,1.5,4,3,1100.0,98,16,100.0,-34.12919,18.448,1
8 On Burnside Under Table Mountain!,Ward 115,Entire home/apt,1.0,1.0,2,2,868.0,352,228,97.0,-33.93058,18.40854,1
Lovely Room in 'The White House',Ward 57,Private room,1.0,1.0,2,2,557.0,360,77,96.0,-33.93595,18.44451,1
The Rhino Room,Ward 77,Private room,1.0,1.0,2,1,1628.0,296,20,84.0,-33.93103,18.40462,0
The perfect place to stay and meet,Ward 77,Private room,1.0,1.5,2,2,534.0,365,74,92.0,-33.93008,18.40549,1
Stunning apt on Clifton 1st beach,Ward 54,Entire home/apt,1.0,1.0,4,2,3699.0,364,179,97.0,-33.93507,18.37913,0
"Spacious, Peaceful Estate with Mountain Views",Ward 74,Entire home/apt,2.0,2.0,4,2,2321.0,240,19,97.0,-34.01501,18.36165,1
Bay Splendour in Simon's Town (Self Catering),Ward 61,Entire home/apt,3.0,2.0,6,3,1800.0,363,13,98.0,-34.180859999999996,18.42311,0
Stylish Fully Equipped City Loft,Ward 115,Entire home/apt,1.0,1.0,2,3,550.0,341,30,93.0,-33.92607,18.425320000000003,1
